source,target,service_date,arrival_hour,earliest_departure_hour,distance,total_services,src_degree,src_weighted_degree,src_avg_distance,tgt_degree,tgt_weighted_degree,tgt_avg_distance,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,temperature_2m,rain,snowfall,snow_depth,wind_speed_10m,wind_gusts_10m,soil_temperature_0_to_7cm,is_holiday,target_binary,count_intercity,count_sprinter,count_other_trains,rolling_prev_5_avg_delay,hours_since_prev_service,delta_hours_since_last_service,delta_count_services_since_last_delay,delta_hours_since_last_delayed_service,total_last_services_count,total_last_delayed_services_count,ratio_last_delay,service_year,service_month,day_of_week,YearMonth,YearMonthDayHour,arrival_hour_sin,arrival_hour_cos,day_of_week_sin,day_of_week_cos,month_of_year_sin,month_of_year_cos,hourly_edges_size,count_class_1,count_class_0,simultaneous_pred,simultaneous_null
RSW,GVMW,2024-02-28,13,13,2,4,4,16,7.0,4,16,3.0,0,0.0,16,0.0,0.0,9.600000381469727,0.0,0.0,0.0,20.380578994750977,37.439998626708984,8.100000381469727,False,1,0,4,0,0.65,1.0,1.0,1,1.0,4,2,0.5,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,1.0,1.0
UTT,UTLR,2024-02-28,13,13,2,2,4,12,4.0,4,12,5.0,0,0.0,16,0.0,0.0,7.374000072479248,0.0,0.0,0.0,16.263872146606445,29.8799991607666,5.973999977111816,False,0,0,2,0,4.0,1.0,1.0,5,5.0,6,4,0.6666667,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
DT,RTD,2024-02-28,13,13,14,2,10,44,15.2,14,68,43.142857142857146,1,0.09090909090909091,140,0.9102392266268373,0.3333333333333333,9.693499565124512,0.0,0.0,0.0,19.29613494873047,34.91999816894531,7.7935004234313965,False,1,2,0,0,6.6,1.0,1.0,1,1.0,2,2,1.0,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
MZ,WT,2024-02-28,13,13,7,2,4,8,17.0,6,22,39.333333333333336,0,0.0,24,0.0,0.0,9.256500244140625,0.0,0.0,0.0,10.787993431091309,24.479999542236328,7.2064995765686035,False,0,0,2,0,1.0,1.0,1.0,2,2.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
DMN,ASSP,2024-02-28,13,13,2,2,4,8,9.0,4,8,3.0,0,0.0,16,0.0,0.0,8.13700008392334,0.0,0.0,0.0,17.0725040435791,31.68000030517578,6.88700008392334,False,0,0,2,0,0.734,1.0,1.0,1,1.0,2,2,1.0,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
GS,MDB,2024-02-28,13,13,19,1,8,12,38.0,8,12,17.0,1,0.14285714285714285,64,1.4426950408889634,0.5,9.723999977111816,0.0,0.0,0.0,19.930477142333984,37.79999923706055,8.02400016784668,False,0,1,0,0,0.6,1.0,1.0,2,2.0,1,1,1.0,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
BGN,GS,2024-02-28,13,13,37,1,6,12,44.0,8,12,38.0,0,0.0,48,0.0,0.0,10.019499778747559,0.0,0.0,0.0,19.201873779296875,36.36000061035156,7.66949987411499,False,1,1,0,0,0.8,1.0,1.0,1,1.0,1,1,1.0,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
CL,HTNC,2024-02-28,13,13,9,4,4,24,17.0,4,24,10.0,0,0.0,16,0.0,0.0,6.46750020980835,0.10000000149011612,0.0,0.0,11.04326057434082,23.759998321533203,5.21750020980835,False,1,0,4,0,0.35,1.0,1.0,1,1.0,4,2,0.5,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,1.0,1.0
HVSP,HOR,2024-02-28,13,13,5,2,6,16,13.333333333333334,4,8,14.0,1,0.25,24,0.6213349345596119,0.2,7.093500137329102,0.0,0.0,0.0,16.099689483642578,29.51999855041504,5.69350004196167,False,0,0,2,0,6.4,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
ASHD,AC,2024-02-28,13,13,4,2,4,8,5.0,4,8,16.0,0,0.0,16,0.0,0.0,7.83050012588501,0.0,0.0,0.0,17.0725040435791,31.319997787475586,6.530500411987305,False,1,0,2,0,1.8,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 13:00:00,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,647,294,353,0.0,0.0
