source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
AMFS,AMF,2022-12-01,2022,12,3,2138.0,0.68,794,9643.0,3.08,708,3133,0.2534,0.226,54,3108,1,3108.0,0,4,3945.0,4181.0,8126.0,6.0,3.0,3.0,15,46.10714285714286,23.857142857142858,22.25,12385.0,12086.0,24471.0,0.0,0.0,60.0,0.0,0.0,3.6802796702481486,0.1118279579345898,0.0016935483342216861,0.0,14.99602396449735,26.984031402936544,3.5032634654092374,3.752008082655569,0.11720430158999978,0.0,0.0,15.069766898949942,28.559031488433963,3.605637119652363,2,0.0645,9.0,21.0,0.263,0,0.3338653,0.0,0.0,0.0,0.334,0.0,0.0,0.0,0.666,1,-2.4492935982947064e-16,1.0,1.0,0.0
AMFS,AMF,2023-05-01,2023,5,3,1437.0,0.47,586,7466.0,2.42,653,3080,0.1903,0.212,42,3006,1,3006.0,0,4,3989.0,4171.0,8160.0,6.0,3.0,3.0,15,46.10714285714286,23.857142857142858,22.25,10771.0,10576.0,21347.0,0.0,0.0,60.0,0.0,0.0,13.07349213605286,0.09206989277354492,0.0,0.0,12.604339931520723,24.574354228153023,13.88652979173968,13.111147647583357,0.08830645232791862,0.0,0.0,12.654976214372343,26.025967015694548,14.020153008481508,3,0.0968,8.0,21.0,0.263,0,0.34318182,0.0,0.0,0.0,0.343,0.0,0.0,0.0,0.657,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
AMFS,AMF,2024-12-01,2024,12,3,1531.0,0.5,588,13735.0,4.5,859,3050,0.1928,0.2816,34,3054,1,3054.0,0,4,3918.0,4184.0,8102.0,6.0,3.0,3.0,18,43.33333333333333,22.11111111111111,21.22222222222222,11019.1,10963.0,21982.1,0.0,0.0,72.0,0.0,0.0,5.840024282605016,0.0944892478886471,0.0028225806071072498,0.0,16.60521971342224,31.384353994361817,5.674768873921004,5.93137636662571,0.10725806514301928,0.0023521505176059662,0.0,15.181141157143859,32.3017733577759,5.922438199641884,2,0.0645,9.0,20.0,0.263,1,0.14,0.18262295,0.0,0.0,0.14,0.183,0.0,0.0,0.677,1,-2.4492935982947064e-16,1.0,0.0,1.0
RTN,RTA,2024-03-01,2024,3,5,1214.0,0.99,569,5335.0,4.34,660,1229,0.463,0.537,0,1176,1,1176.0,0,3,2348.0,1176.0,3524.0,10.0,5.0,5.0,7,14.166666666666668,7.5,6.666666666666667,5779.0,4071.0,9850.0,1.0,0.2,21.0,0.45511961331341866,0.1111111111111111,8.6823047879246,0.08829071404836059,9.421265181429774e-05,0.0,14.98373087209776,28.45453493624003,8.738697746720963,8.731252294289472,0.08734858754024531,0.0005652759309411851,0.0,15.65530166828135,29.18858597512842,8.900094825839611,2,0.0645,10.0,20.0,0.263,1,0.00081366964,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,1.0,6.123233995736766e-17,1.0,1.0
RTN,RTA,2024-05-01,2024,5,5,956.0,0.84,435,3281.0,2.89,492,1135,0.3833,0.4335,1,1159,1,1159.0,0,3,2387.0,1159.0,3546.0,10.0,5.0,5.0,7,14.166666666666668,7.5,6.666666666666667,6370.0,4377.0,10747.0,1.0,0.2,21.0,0.45511961331341866,0.1111111111111111,14.938602201400265,0.18965053806702295,0.0,0.0,12.060079925883842,24.4403219714921,15.549086134920838,15.01782771848863,0.21411290365241228,0.0,0.0,12.415770754218102,24.539031604605338,15.716752448389608,3,0.0968,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,1.0,0.0
UTLR,UTT,2023-04-01,2023,4,2,640.0,0.42,268,3413.0,2.23,324,1528,0.1754,0.212,1,1696,1,1696.0,0,4,3360.0,2808.0,6168.0,5.0,2.5,2.5,4,4.0,2.0,2.0,3360.0,3360.0,6720.0,0.0,0.0,16.0,0.0,0.0,8.409236111921361,0.1234722230066028,0.0,0.0,14.407095692886246,28.02299926545885,9.08381945490837,8.40580554320477,0.12611111184168194,0.0,0.0,15.119620060258441,28.02199926243888,9.018930526077748,4,0.1333,10.0,17.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
HVSM,HVS,2022-04-01,2022,4,1,949.0,0.48,332,8325.0,4.18,518,1990,0.1668,0.2603,0,1455,1,1455.0,0,4,2969.0,2960.0,5929.0,5.0,2.5,2.5,13,21.166666666666664,12.0,9.166666666666666,8812.0,7250.0,16062.0,0.0,0.0,52.0,0.0,0.0,9.170111158169393,0.07333333399146795,0.006222222259061204,0.0037916666077863837,16.419417304462858,31.48149912489785,9.511708348823918,9.148944657751256,0.06347222230914566,0.006027777803440889,0.0037916666077863837,15.705842420127656,30.39049926598867,9.522972497152578,4,0.1333,9.0,18.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
AHPR,VP,2020-04-01,2020,4,3,136.0,0.14,39,919.0,0.96,78,958,0.0407,0.0814,0,945,1,945.0,0,4,1884.0,1884.0,3768.0,5.0,2.5,2.5,4,7.0,3.5,3.5,1884.0,1884.0,3768.0,0.0,0.0,16.0,0.0,0.0,11.147041400677214,0.027638889083431827,0.0,0.0,12.851397349188725,26.1164993054337,11.433152471151617,11.127541677312305,0.027638889083431827,0.0,0.0,12.851397349188725,26.1164993054337,11.413652734292878,4,0.1333,8.0,19.0,0.263,0,0.026096033,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.974,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
AHPR,VP,2020-12-01,2020,12,3,263.0,0.27,98,1737.0,1.78,161,976,0.1004,0.165,0,962,1,962.0,0,4,1920.0,1920.0,3840.0,5.0,2.5,2.5,4,7.0,3.5,3.5,1920.0,1920.0,3840.0,0.0,0.0,16.0,0.0,0.0,5.352021477110083,0.14166666816679702,0.0,0.0,14.704108905968486,28.19951533309875,5.323459673312403,5.332521418064472,0.14166666816679702,0.0,0.0,14.704108905968486,28.19951533309875,5.3039595656177045,2,0.0645,8.0,22.0,0.263,0,0.027663935,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.972,1,-2.4492935982947064e-16,1.0,0.0,0.0
AHPR,VP,2021-12-01,2021,12,3,299.0,0.32,117,2235.0,2.36,177,948,0.1234,0.1867,0,999,1,999.0,0,4,1998.0,1998.0,3996.0,5.0,2.5,2.5,4,7.0,3.5,3.5,1998.0,1998.0,3996.0,0.0,0.0,16.0,0.0,0.0,4.8070617800989055,0.05604838750134873,0.006021505291824059,0.0006182795560728478,14.219961156207388,26.371934786278715,4.601349452260121,4.787561745047369,0.05604838750134873,0.006021505291824059,0.0005510752564997121,14.219961156207388,26.371934786278715,4.581849385423445,2,0.0645,8.0,23.0,0.263,0,0.028481012,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.972,1,-2.4492935982947064e-16,1.0,0.0,1.0
