source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
ASB,SHL,2020-06-01,2020,6,17,0.0,0.0,0,480.0,53.33,8,9,0.0,0.8889,0,16,1,16.0,0,15,8308.0,8605.0,16913.0,19.333333333333332,8.666666666666666,10.666666666666666,15,52.48214285714286,25.625,26.857142857142858,21401.0,17476.0,38877.0,2,0.13333333333333333,225,0.9751430179754935,0.25757575757575757,17.00969483918614,0.0958333347303172,0.0,0.0,14.369885161643227,28.364499188131756,17.96268096367518,16.871417080693774,0.1006944454068111,0.0,0.0,13.819435655242867,28.27049922214614,17.681000430054134,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,1.0
ASB,SHL,2024-03-01,2024,3,17,4.0,0.13,4,79.0,2.55,6,31,0.129,0.1935,3,35,1,35.0,0,18,9357.57,8817.34,18174.91,17.333333333333332,8.666666666666666,8.666666666666666,17,43.986111111111114,22.11111111111111,21.875,18787.0,16155.0,34942.0,2,0.125,306,0.9605402309330919,0.25,8.456308421665053,0.06393001432133234,0.00037685060725719096,0.0,15.755852521187846,28.374588719287118,8.601261317970614,8.488792967266862,0.07362045850078318,0.0007537012145143819,0.0,15.47013106496947,29.499649301351802,8.652857617125376,2,0.0645,10.0,20.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.0
ASB,SHL,2024-05-01,2024,5,17,8.0,0.67,1,0.0,0.0,0,12,0.0833,0.0,0,35,1,35.0,0,15,8878.5,8654.0,17532.5,19.107142857142858,9.25,9.857142857142858,20,42.282828282828284,21.727272727272727,20.555555555555557,18658.46,15988.5,34646.96,2,0.11764705882352941,300,0.9751430179754935,0.25757575757575757,15.123516505764377,0.17755376367319015,0.0,0.0,12.743481363019635,24.525967022424105,15.951204687036494,15.04897085248783,0.2012096777438156,0.0,0.0,12.25506011364601,24.92274125865711,15.750986986262824,3,0.0968,8.0,21.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,1.0,0.0
TPSW,GDM,2020-04-01,2020,4,10,608.0,0.55,445,699.0,0.63,62,1112,0.4002,0.0558,0,1159,1,1159.0,0,3,2301.0,1159.0,3460.0,16.0,6.0,10.0,6,18.0,9.0,9.0,4630.0,4633.0,9263.0,0,0.0,18,0.0,0.0,11.231277621793561,0.023750000302162434,0.0,0.0,13.199274027388956,26.668999322917728,11.620374814669292,11.09018070159687,0.02472222251817584,0.0,0.0,13.60676950228711,25.6134993125995,11.634972337716155,4,0.1333,8.0,19.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
TPSW,GDM,2020-12-01,2020,12,10,694.0,0.61,525,1418.0,1.24,82,1146,0.4581,0.0716,0,1160,1,1160.0,0,3,2302.0,1160.0,3462.0,16.0,6.0,10.0,6,18.0,9.0,9.0,4647.0,4642.0,9289.0,0,0.0,18,0.0,0.0,5.512989272481151,0.13185483957290328,0.0,0.0,15.879984521737663,30.11661208124571,5.479454373159716,5.435491916007533,0.13561828098990905,0.0,0.0,16.04246015606388,28.54935403472634,5.301755352286241,2,0.0645,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,1.0,1.0
HDR,HDRZ,2021-01-01,2021,1,1,81.0,0.07,42,2700.0,2.22,89,1216,0.0345,0.0732,10,1301,1,1301.0,0,1,0.0,1301.0,1301.0,1.0,0.0,1.0,3,17.0,6.0,11.0,2639.0,1301.0,3940.0,0,0.0,3,0.0,0.0,4.703868288762107,0.1084677429008548,0.004233870885625321,0.0002822580582071697,23.82175414536589,32.953547497590385,5.355817176962412,4.175728599948969,0.10134408649017093,0.004516128961357379,0.00033602149786567814,21.386254340089778,38.86354737897073,3.5774758836750182,1,0.0323,10.0,20.0,0.2629,0,0.97450656,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.025,1,0.49999999999999994,0.8660254037844387,0.0,0.0
AMRN,AMR,2022-06-01,2022,6,1,857.0,0.38,342,8187.0,3.67,445,2228,0.1535,0.1997,0,2450,1,2450.0,0,4,4956.0,4908.0,9864.0,7.0,3.5,3.5,6,12.0,6.0,6.0,4923.0,5993.0,10916.0,0,0.0,24,0.0,0.0,15.753805579741796,0.16694444482111268,0.0,0.0,14.57708253926701,27.74799926877022,16.696305464373694,15.753805579741796,0.16694444482111268,0.0,0.0,14.57708253926701,27.74799926877022,16.696305464373694,2,0.0667,8.0,21.0,0.2629,0,0.5587971,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0.441,3,1.2246467991473532e-16,-1.0,1.0,0.0
RB,BGN,2023-04-01,2023,4,16,629.0,0.45,261,20024.0,14.35,835,1395,0.1871,0.5986,3,1268,1,1268.0,0,4,2552.0,2540.0,5092.0,19.0,9.5,9.5,6,44.0,22.0,22.0,3205.0,2909.0,6114.0,0,0.0,24,0.0,0.0,8.749166666561116,0.10152777904230688,0.0,0.0,15.377160770859984,27.919499249590768,9.103125009602971,8.544638715899136,0.11611111120631297,0.0,0.0,15.043014066914717,29.0284991270966,8.979708125856188,4,0.1333,10.0,17.0,0.2629,1,0.80573475,0.0,0.0,0.0,0.806,0.0,0.0,0.0,0.194,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
RH,DR,2020-06-01,2020,6,6,190.0,0.19,57,1086.0,1.11,83,976,0.0584,0.085,0,1036,1,1036.0,0,4,2070.0,2070.0,4140.0,10.0,5.0,5.0,8,20.5,10.25,10.25,4354.0,4291.0,8645.0,0,0.0,32,0.0,0.0,17.632180988788605,0.10180555686561597,0.0,0.0,12.13216212756104,25.907499282889894,17.972597654660543,17.771236465374628,0.1037500005422367,0.0,0.0,12.587527471284071,26.206499271591504,18.485264372825622,1,0.0333,8.0,21.0,0.2629,0,0.025614753,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.974,3,1.2246467991473532e-16,-1.0,0.0,0.0
RH,DR,2024-03-01,2024,3,6,264.0,0.26,90,1613.0,1.61,124,1004,0.0896,0.1235,0,1016,1,1016.0,0,4,2031.0,2031.0,4062.0,10.0,5.0,5.0,8,20.5,10.25,10.25,4432.0,4388.0,8820.0,0,0.0,32,0.0,0.0,8.669613974031016,0.06662180394054583,0.0016958277326573595,0.0,13.784139273304637,26.606082769293803,8.55258840250295,8.624345032989599,0.06366083477178781,0.0007537012345697806,0.0,13.967886399532873,25.84199122047681,8.600657243908334,2,0.0645,10.0,20.0,0.2629,0,0.060756974,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.939,2,1.0,6.123233995736766e-17,0.0,1.0
