source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
GD,GDG,2020-04-01,2020,4,3,594.0,0.27,195,3942.0,1.76,327,2240,0.0871,0.146,25,2326,1,2326.0,0,14,14918.0,10736.0,25654.0,35.66666666666667,19.0,16.666666666666668,4,16.0,8.0,8.0,4687.0,5714.0,10401.0,0,0.0,56,0.0,0.0,10.75970853705787,0.03152777819583814,0.0,0.0,13.778511383136113,26.882999307248326,11.334916934536563,10.790013689092463,0.029027777993016774,0.0,0.0,13.589457944697804,25.615999295976426,11.266958052830564,4,0.1333,8.0,19.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
GD,GDG,2020-12-01,2020,12,3,655.0,0.3,246,7057.0,3.21,494,2201,0.1118,0.2244,18,2326,1,2326.0,0,14,15117.0,10770.0,25887.0,35.66666666666667,19.0,16.666666666666668,4,16.0,8.0,8.0,4687.0,5742.0,10429.0,0,0.0,56,0.0,0.0,5.593317305408819,0.1286290332434639,0.0,0.0,16.695536192226154,30.940160446589992,5.390696321684186,5.5068842995891805,0.12567204394207526,0.0,0.0,16.367483282441732,29.40580569544146,5.262731125838654,2,0.0645,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
GD,GDG,2021-12-01,2021,12,3,657.0,0.29,220,8581.0,3.76,482,2280,0.0965,0.2114,53,2315,1,2315.0,0,14,14890.0,10682.0,25572.0,35.66666666666667,19.0,16.666666666666668,5,23.0,8.0,15.0,4650.0,5648.46,10298.46,1,0.1,70,0.35295612386476116,0.058823529411764705,5.414621074453637,0.06236559233718341,0.0027284945852013047,0.0007526881552191191,15.941908438599878,28.559999288410268,4.874096848110678,5.249693438996591,0.05618279648604252,0.0026344085833238016,0.0007526881552191191,15.743211391151592,27.40741862020185,4.7519784261152065,2,0.0645,8.0,23.0,0.2629,0,0.009649123,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,1,-2.4492935982947064e-16,1.0,0.0,0.0
HLMS,HLM,2019-04-01,2019,4,1,2150.0,0.99,998,3252.0,1.5,1065,2167,0.4605,0.4915,0,2243,1,2243.0,0,4,4613.0,4561.0,9174.0,8.0,4.0,4.0,13,16.714285714285715,8.0,8.714285714285714,8920.0,10393.0,19313.0,0,0.0,52,0.0,0.0,10.283513998323016,0.039583333943867025,9.722222263614337e-05,0.0,15.341238597366544,29.4429992251926,10.797402930259704,10.231514063311948,0.039583333943867025,9.722222263614337e-05,0.0,15.341238597366544,29.4429992251926,10.745402982831001,4,0.1333,8.0,20.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
HLMS,HLM,2021-04-01,2021,4,1,662.0,0.3,283,2929.0,1.34,370,2179,0.1299,0.1698,0,2264,1,2264.0,0,4,4672.0,4614.0,9286.0,8.0,4.0,4.0,10,10.0,5.0,5.0,9245.0,11305.0,20550.0,0,0.0,40,0.0,0.0,6.4969166220890155,0.05250000056500236,0.004861111152503226,0.0,16.413632611019743,31.677999058034686,7.397402747803264,6.444916815145148,0.05250000056500236,0.004861111152503226,0.0,16.413632611019743,31.677999058034686,7.345402947399351,4,0.1333,8.0,19.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
NDB,WP,2024-04-01,2024,4,9,1876.0,1.18,705,4114.0,2.59,751,1586,0.4445,0.4735,0,1969,1,1969.0,0,8,6105.0,6128.0,12233.0,19.0,9.5,9.5,13,20.88095238095238,10.714285714285714,10.166666666666666,8792.07,8831.560000000001,17623.63,1,0.1,104,0.7213475204444817,0.25,10.41165264894565,0.1327777787629101,0.0014583333602382078,0.0,17.720841311415036,34.81399901575512,10.68727761871285,10.249875131001074,0.13583333384659554,0.0008750000244213476,0.0,18.769380096263355,34.282999121480515,10.654319595959452,2,0.0667,8.0,21.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
ASB,SHL,2020-06-01,2020,6,17,0.0,0.0,0,480.0,53.33,8,9,0.0,0.8889,0,16,1,16.0,0,15,8308.0,8605.0,16913.0,19.333333333333332,8.666666666666666,10.666666666666666,15,52.48214285714286,25.625,26.857142857142858,21401.0,17476.0,38877.0,2,0.13333333333333333,225,0.9751430179754935,0.25757575757575757,17.00969483918614,0.0958333347303172,0.0,0.0,14.369885161643227,28.364499188131756,17.96268096367518,16.871417080693774,0.1006944454068111,0.0,0.0,13.819435655242867,28.27049922214614,17.681000430054134,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.0
ASB,SHL,2024-03-01,2024,3,17,4.0,0.13,4,79.0,2.55,6,31,0.129,0.1935,3,35,1,35.0,0,18,9357.57,8817.34,18174.91,17.333333333333332,8.666666666666666,8.666666666666666,17,43.986111111111114,22.11111111111111,21.875,18787.0,16155.0,34942.0,2,0.125,306,0.9605402309330919,0.25,8.456308421665053,0.06393001432133234,0.00037685060725719096,0.0,15.755852521187846,28.374588719287118,8.601261317970614,8.488792967266862,0.07362045850078318,0.0007537012145143819,0.0,15.47013106496947,29.499649301351802,8.652857617125376,2,0.0645,10.0,20.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,0.0,0.0
ASB,SHL,2024-05-01,2024,5,17,8.0,0.67,1,0.0,0.0,0,12,0.0833,0.0,0,35,1,35.0,0,15,8878.5,8654.0,17532.5,19.107142857142858,9.25,9.857142857142858,20,42.282828282828284,21.727272727272727,20.555555555555557,18658.46,15988.5,34646.96,2,0.11764705882352941,300,0.9751430179754935,0.25757575757575757,15.123516505764377,0.17755376367319015,0.0,0.0,12.743481363019635,24.525967022424105,15.951204687036494,15.04897085248783,0.2012096777438156,0.0,0.0,12.25506011364601,24.92274125865711,15.750986986262824,3,0.0968,8.0,21.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
WM,ZZS,2019-05-01,2019,5,3,590.0,0.33,242,6063.0,3.39,330,1786,0.1355,0.1848,31,1784,1,1784.0,0,4,3563.0,3563.0,7126.0,5.0,2.5,2.5,4,4.0,2.0,2.0,3563.0,3563.0,7126.0,0,0.0,16,0.0,0.0,11.22528747813676,0.03978494640880374,0.0,0.0,13.939131496734516,26.91967669161417,12.601295500032363,11.231787627102227,0.03978494640880374,0.0,0.0,13.939131496734516,26.91967669161417,12.607795692900176,1,0.0323,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
