source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
GD,GDG,2019-05-01,2019,5,3,658.0,0.29,238,7078.0,3.11,353,2273,0.1047,0.1553,28,2268,1,2268.0,0,12,14672.0,9882.0,24554.0,33.16666666666667,16.5,16.666666666666668,4,16.0,8.0,8.0,4571.0,5597.0,10168.0,0.0,0.0,48.0,0.0,0.0,11.511798664126346,42.60000055283308,0.0,0.0,13.834475989543623,61.920002,12.713344320174187,11.540486315886179,37.00000061839819,0.0,0.0,13.682846439301327,57.6,12.648281976740847,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
GD,GDG,2019-12-01,2019,12,3,735.0,0.34,293,5663.0,2.64,449,2148,0.1364,0.209,33,2275,1,2275.0,0,14,14749.0,9970.0,24719.0,35.66666666666667,19.0,16.666666666666668,4,16.0,8.0,8.0,4586.0,5611.0,10197.0,0.0,0.0,56.0,0.0,0.0,6.0188549426334195,80.10000059008598,0.0,0.0,18.850574900706608,80.64,5.435588748644917,5.822946145224275,76.20000084489584,0.0,0.0,18.52391968491257,80.64,5.1124623348405684,2,0.0645,9.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
HMH,HMBV,2020-04-01,2020,4,2,325.0,0.34,172,3161.0,3.35,211,944,0.1822,0.2235,0,1024,1,1024.0,0,4,2021.0,2021.0,4042.0,3.0,1.5,1.5,4,12.0,6.0,6.0,2021.0,1978.0,3999.0,0.0,0.0,16.0,0.0,0.0,11.742916631941787,15.900000341236591,0.0,0.0,12.209511048429542,62.279995,12.57118051337699,11.807777800783516,16.600000247359276,0.0,0.0,12.048650228811635,63.72,12.619097210715214,4,0.1333,8.0,19.0,0.263,0,0.001059322,0.0,0.0,0.001059322,0.001,0.0,0.0,0.001,0.998,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
HMH,HMBV,2020-12-01,2020,12,2,1050.0,1.11,479,1332.0,1.4,369,949,0.5047,0.3888,0,1002,1,1002.0,0,4,1983.0,1983.0,3966.0,3.0,1.5,1.5,4,12.0,6.0,6.0,1983.0,1983.0,3966.0,0.0,0.0,16.0,0.0,0.0,5.418790321932325,85.20000072568655,0.3500000014901161,0.0,14.213502832197694,79.2,5.180483830471833,5.4321236655977305,86.90000106394291,0.14000000059604645,0.0,14.08144106659838,81.72,5.274462357483884,2,0.0645,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
HMH,HMBV,2021-12-01,2021,12,2,1251.0,1.28,492,2817.0,2.87,406,980,0.502,0.4143,1,993,1,993.0,0,4,2031.0,2031.0,4062.0,3.0,1.5,1.5,4,12.0,6.0,6.0,2031.0,2031.0,4062.0,0.0,0.0,16.0,0.0,0.0,5.110793022534019,45.80000048130751,4.13000001758337,0.0011962365324018143,13.553990021508227,62.639996,4.7682526483480885,5.15336021896632,44.000000424683094,3.2900000140070915,0.0011962365324018143,13.374632787159694,64.439995,4.83985214459119,2,0.0645,8.0,23.0,0.263,1,0.010204081,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,1,-2.4492935982947064e-16,1.0,1.0,1.0
HN,ASS,2019-05-01,2019,5,39,174.0,0.14,84,4461.0,3.64,153,1227,0.0685,0.1247,31,1224,1,1224.0,0,8,4698.0,4631.75,9329.75,39.733333333333334,19.333333333333332,20.4,12,24.666666666666668,12.333333333333334,12.333333333333334,25537.0,18573.0,44110.0,1.0,0.1,96.0,0.6213349345596119,0.2,11.141473197488375,26.900000162422657,0.0,0.0,14.687818118721568,60.120003,12.387911417791921,11.219091455141703,28.900000423192978,0.0,0.0,13.535810962800056,59.039997,12.609481185354213,1,0.0323,8.0,22.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
KRG,KBD,2021-01-01,2021,1,7,744.0,0.64,456,3662.0,3.13,202,1171,0.3894,0.1725,6,1257,1,1257.0,0,4,2537.0,2537.0,5074.0,13.0,6.5,6.5,4,10.0,5.0,5.0,2537.0,2537.0,5074.0,0.0,0.0,16.0,0.0,0.0,3.889266168358185,86.20000068098307,9.380000069737434,0.003494623577803053,18.704540806912608,104.76,3.6760941556184203,3.7405618634976205,89.20000008493662,9.729999870061874,0.003400537558400663,17.67719141185604,108.36,3.6150241919983457,1,0.0323,10.0,20.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,1.0
DRON,KPNZ,2023-01-01,2023,1,17,595.0,0.52,163,4130.0,3.61,241,1145,0.1424,0.2105,1,1875,1,1875.0,0,4,3703.0,3735.0,7438.0,42.0,21.0,21.0,4,32.0,16.0,16.0,3765.0,1946.0,5711.0,0.0,0.0,16.0,0.0,0.0,5.477647829655638,121.00000021606684,5.669999912381172,0.0,19.203387267567138,73.799995,5.373750001692804,5.356276858367667,123.3000006750226,3.5699999555945396,0.0,18.888658796507183,72.0,5.260981174145815,1,0.0323,9.0,22.0,0.263,0,0.045414846,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.955,1,0.49999999999999994,0.8660254037844387,1.0,0.0
DRON,KPNZ,2023-12-01,2023,12,17,502.0,0.46,160,5715.0,5.21,311,1097,0.1459,0.2835,11,1189,1,1189.0,0,4,2513.0,2435.0,4948.0,42.0,21.0,21.0,4,32.0,16.0,16.0,2414.0,1526.0,3940.0,0.0,0.0,16.0,0.0,0.0,6.198749963269239,135.50000052154064,4.410000041127205,0.003629032176949324,20.885648490280232,89.27999,5.852513498601613,6.079596750162822,128.70000054687262,6.089999936521053,0.005026881608070546,20.67321415990591,84.6,5.7193817799179865,2,0.0645,10.0,19.0,0.263,1,0.025524156,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.974,1,-2.4492935982947064e-16,1.0,0.0,1.0
HON,DVC,2020-06-01,2020,6,15,497.0,0.55,249,1187.0,1.3,268,911,0.2733,0.2942,0,979,1,979.0,0,4,1918.0,1917.0,3835.0,22.0,11.0,11.0,4,19.0,9.5,9.5,1917.0,1801.0,3718.0,0.0,0.0,16.0,0.0,0.0,17.727667109833824,87.40000037103891,0.0,0.0,12.095543389353487,64.799995,18.369056018193564,17.658707879649267,66.10000037401915,0.0,0.0,12.63289467924171,66.96,18.12037450340059,1,0.0333,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,1.0
BGN,RSD,2019-01-01,2019,1,13,947.0,0.85,371,2786.0,2.49,341,1119,0.3315,0.3047,10,0,12,0.0,1,6,0.0,0.0,0.0,44.0,22.0,22.0,11,56.7,31.2,25.5,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,3.6287740797295127,49.200000770390034,4.130000047385693,0.004139784853705155,16.814034249954005,80.28,3.652026757843272,3.633919246309507,46.80000039935112,3.7099999859929085,0.003965053674815002,16.60432473538063,78.12,3.6188654606130415,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
