source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
RSN,WDN,2024-01-01,2024,1,8,1132.0,1.17,374,2622.0,2.7,410,971,0.3852,0.4222,0,907,1,907.0,0,5,1832.0,1865.0,3697.0,21.166666666666664,7.5,13.666666666666666,4,13.0,6.5,6.5,1832.0,1078.0,2910.0,0.0,0.0,20.0,0.0,0.0,3.1918789295064065,0.10026881828783982,0.004704300995155048,0.0017473117889015264,18.48914554362656,34.38919261706773,3.2162068975333287,3.124231242359446,0.10241935555372507,0.0013172043166974538,0.0017204300690722722,18.123256162770332,33.35564434047668,3.1681828146039317,1,0.0323,8.0,22.0,0.263,1,0.0030895984,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.997,1,0.49999999999999994,0.8660254037844387,0.0,1.0
HLM,HWZB,2024-01-01,2024,1,8,2.0,0.33,2,0.0,0.0,0,6,0.3333,0.0,1,36,1,36.0,0,19,7977.34,9322.34,17299.68,29.42222222222222,13.222222222222221,16.2,5,14.333333333333332,7.333333333333333,7.0,4569.0,4568.0,9137.0,2.0,0.15384615384615385,95.0,1.897814654202382,0.6111111111111112,4.467134521548106,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.065521599739911,4.5191343622883,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.117521434536664,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
SPTZ,BLL,2024-01-01,2024,1,2,702.0,0.59,294,3293.0,2.76,354,1192,0.2466,0.297,1,1167,1,1167.0,0,4,2314.0,2314.0,4628.0,4.0,2.0,2.0,4,5.0,2.5,2.5,2314.0,2314.0,4628.0,0.0,0.0,16.0,0.0,0.0,4.486634390303484,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.085021486821314,4.49963448930692,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.098021542943854,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
RLB,BRD,2024-01-01,2024,1,4,2212.0,1.15,839,4780.0,2.48,889,1925,0.4358,0.4618,35,1933,1,1933.0,0,6,3530.0,3680.0,7210.0,6.0,3.0,3.0,4,11.0,5.5,5.5,3820.0,3672.0,7492.0,0.0,0.0,24.0,0.0,0.0,3.854282238470611,0.07634408605755658,0.0013172043066832326,0.0,19.118761129276727,33.81290235314318,3.816715008909664,3.8087823322363277,0.07634408605755658,0.0013172043066832326,0.0,19.118761129276727,33.81290235314318,3.7712150900824977,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.003116883,0.0,0.0,0.0,0.003,0.997,1,0.49999999999999994,0.8660254037844387,0.0,0.0
HLM,HLMS,2024-01-01,2024,1,1,1277.0,0.55,534,5580.0,2.41,503,2315,0.2307,0.2173,227,2258,1,2258.0,0,19,7977.34,9322.34,17299.68,29.42222222222222,13.222222222222221,16.2,4,8.0,4.0,4.0,4532.0,4461.0,8993.0,1.0,0.07692307692307693,76.0,0.9102392266268373,0.3333333333333333,4.467134521548106,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.065521599739911,4.5191343622883,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.117521434536664,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
DVNK,LEDN,2024-01-01,2024,1,3,684.0,0.41,281,4705.0,2.79,386,1688,0.1665,0.2287,30,1719,1,1719.0,0,4,3501.0,3499.0,7000.0,5.0,2.5,2.5,21,38.009090909090915,19.90909090909091,18.1,11970.0,12359.67,24329.67,0.0,0.0,84.0,0.0,0.0,4.17476890564105,0.08938172069047728,0.004516129111570697,0.0,19.837839674885554,35.115966882756965,3.9935860649572423,4.403252713507422,0.09448924850952882,0.004327956997659257,0.0,21.347878975893863,37.95628927728181,4.107284997124225,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.0
HRN,ASN,2024-01-01,2024,1,22,937.0,0.82,433,4918.0,4.33,516,1137,0.3808,0.4538,2,1087,1,1087.0,0,4,2429.0,2292.0,4721.0,26.0,13.0,13.0,8,77.46666666666667,38.8,38.666666666666664,4340.0,3356.0,7696.0,0.0,0.0,32.0,0.0,0.0,3.3561425147157524,0.09462365608221741,0.005645161324370933,0.0037096773364370867,20.363238953774975,37.12306345278217,3.2072850054690756,3.142405908479686,0.09973118335048678,0.004139785023946916,0.0030645160605349848,19.35425455960375,35.12177325128227,2.934341391022768,1,0.0323,8.0,22.0,0.263,1,0.06244503,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.938,1,0.49999999999999994,0.8660254037844387,1.0,1.0
HR,SWK,2024-01-01,2024,1,24,609.0,0.56,240,6976.0,6.42,419,1087,0.2208,0.3855,9,1068,1,1068.0,0,7,4032.0,2948.0,6980.0,34.083333333333336,18.75,15.333333333333334,6,34.0,17.0,17.0,4039.0,3968.0,8007.0,1.0,0.16666666666666666,42.0,1.4426950408889634,0.5,3.54874200137302,0.09798387099578175,0.0032930107867365243,0.00224462360574273,21.10140804850286,36.40354743119209,3.27044900403338,3.4390161880642496,0.09690860252306667,0.0015994623924295108,0.002647849403181544,19.907589498066134,34.85999906575808,3.2671075399254037,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
RLB,RTZ,2024-01-01,2024,1,3,1382.0,0.73,738,3996.0,2.11,793,1896,0.3892,0.4182,16,1718,1,1718.0,0,6,3530.0,3680.0,7210.0,6.0,3.0,3.0,6,4.666666666666667,2.3333333333333335,2.3333333333333335,3526.0,3526.0,7052.0,1.0,0.2,36.0,0.9102392266268373,0.3333333333333333,3.854282238470611,0.07634408605755658,0.0013172043066832326,0.0,19.118761129276727,33.81290235314318,3.816715008909664,3.980881718958738,0.08387096811045883,0.002822580657178356,0.0,18.714111432753583,34.11870878101677,3.8768494947342784,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.0
TBU,TB,2024-01-01,2024,1,1,2854.0,1.34,1071,10013.0,4.72,1010,2122,0.5047,0.476,0,2018,1,2018.0,0,4,2207.0,3124.0,5331.0,5.0,2.5,2.5,9,30.8,17.8,13.0,8799.0,6550.0,15349.0,0.0,0.0,36.0,0.0,0.0,3.4679140745241557,0.07876344158324183,0.007809139688008575,0.0013978494311212212,18.121215117874964,34.0316119777259,3.5384113270268647,3.4484139942584098,0.07876344158324183,0.007809139688008575,0.0013978494311212212,18.121215117874964,34.0316119777259,3.5189113087691766,1,0.0323,8.0,22.0,0.263,1,0.016965127,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.983,1,0.49999999999999994,0.8660254037844387,1.0,0.0
HM,EHV,2024-01-01,2024,1,13,1983.0,1.91,462,12424.0,11.95,713,1040,0.4442,0.6856,0,997,1,997.0,0,8,4422.0,4253.0,8675.0,12.0,6.0,6.0,13,33.14285714285714,15.0,18.142857142857142,8328.0,10922.0,19250.0,0.0,0.0,104.0,0.0,0.0,3.212137076087416,0.07594086116640478,0.004610215093419757,0.004153225713619782,17.00263116100142,32.022095927628136,3.2838440539755966,3.309844106450797,0.0779569896578949,0.0052688172267329305,0.005161290207216816,16.5179996062671,32.13725709915161,3.4345752604465973,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.0
BGN,GS,2024-02-01,2024,2,37,781.0,2.28,232,2951.0,8.63,281,342,0.6784,0.8216,3,295,1,295.0,0,7,2920.88,2645.0,5565.88,45.0,23.0,22.0,9,36.4,19.0,17.4,2919.0,2919.33,5838.33,1.0,0.125,63.0,0.7213475204444817,0.25,8.032933720497244,0.20344827726654624,0.0011063218652003113,0.0,18.31537908521192,34.31482670841546,7.647660713771294,8.207620680332184,0.1714080465614967,0.0002011494261437449,0.0,22.437986214955647,39.28861959912311,7.911931003647289,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,1.0,0.0
GVM,VST,2024-02-01,2024,2,6,1194.0,0.71,620,3367.0,2.0,667,1685,0.368,0.3958,12,1688,1,1688.0,0,4,3445.0,3578.0,7023.0,9.0,4.5,4.5,4,8.0,4.0,4.0,3445.0,3445.0,6890.0,0.0,0.0,16.0,0.0,0.0,7.996551722502229,0.19123563177926445,0.002614942518458969,0.0,21.263657430122638,38.63741283101597,7.7737787246018994,7.915233029839422,0.18764367936200452,0.0005028735546545051,0.0,20.01459210939791,35.99534391740273,7.624572067425169,0,0.0,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,0.0
BGN,RSD,2024-02-01,2024,2,13,1673.0,1.43,514,10045.0,8.6,718,1168,0.4401,0.6147,3,1198,1,1198.0,0,7,2920.88,2645.0,5565.88,45.0,23.0,22.0,8,43.46666666666667,24.666666666666668,18.8,2324.0,4805.0,7129.0,0.0,0.0,56.0,0.0,0.0,8.032933720497244,0.20344827726654624,0.0011063218652003113,0.0,18.31537908521192,34.31482670841546,7.647660713771294,8.056643739570168,0.1941091961323701,0.0007040230129128215,0.0,18.786238562015967,35.18275776265681,7.681859221266604,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,1.0,1.0
HK,BV,2024-02-01,2024,2,3,579.0,0.57,273,2904.0,2.86,321,1016,0.2687,0.3159,3,1192,1,1192.0,0,4,2346.0,2346.0,4692.0,6.0,3.0,3.0,4,8.0,4.0,4.0,2346.0,2346.0,4692.0,0.0,0.0,16.0,0.0,0.0,7.69629889409775,0.20014367976236616,0.0005028735653593622,0.0,22.140228504207972,38.44344732268103,7.391413785774132,7.689798846583942,0.20014367976236616,0.0005028735653593622,0.0,22.140228504207972,38.44344732268103,7.384913795124525,0,0.0,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,1.0
UTVR,UT,2024-02-01,2024,2,1,3234.0,1.0,1198,8465.0,2.62,1314,3236,0.3702,0.4061,1,3511,1,3511.0,0,6,9450.0,9347.0,18797.0,7.333333333333333,3.6666666666666665,3.6666666666666665,31,43.03846153846154,21.53846153846154,21.5,22408.09,33103.8,55511.89,1.0,0.047619047619047616,186.0,0.9102392266268373,0.3333333333333333,7.801976939470603,0.1790229899102244,0.001910919526955862,0.0,18.63424655966375,34.2796542658203,7.453988500367636,7.762977176527867,0.1790229899102244,0.001910919526955862,0.0,18.63424655966375,34.2796542658203,7.414988690751723,0,0.0,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,1.0
GV,LAA,2024-02-01,2024,2,2,2912.0,1.26,635,17708.0,7.64,1184,2319,0.2738,0.5106,47,2330,1,2330.0,0,11,9990.0,7695.0,17685.0,19.53333333333333,8.333333333333334,11.2,7,11.333333333333332,5.0,6.333333333333333,8545.0,6644.0,15189.0,2.0,0.2222222222222222,77.0,1.0556294164628637,0.30000000000000004,7.957551967534611,0.19123563177926445,0.002614942518458969,0.0,21.263657430122638,38.63741283101597,7.734778938964865,7.9770519219462,0.19123563177926445,0.002614942518458969,0.0,21.263657430122638,38.63741283101597,7.754278936605344,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,0.0,0.0
GVM,LAA,2024-02-01,2024,2,3,1266.0,0.71,378,3510.0,1.98,431,1774,0.2131,0.243,12,1890,1,1890.0,0,4,3445.0,3578.0,7023.0,9.0,4.5,4.5,7,11.333333333333332,5.0,6.333333333333333,8545.0,6644.0,15189.0,0.0,0.0,28.0,0.0,0.0,7.996551722502229,0.19123563177926445,0.002614942518458969,0.0,21.263657430122638,38.63741283101597,7.7737787246018994,7.9770519219462,0.19123563177926445,0.002614942518458969,0.0,21.263657430122638,38.63741283101597,7.754278936605344,0,0.0,8.0,21.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,0.0
LEDN,HAD,2024-02-01,2024,2,25,1962.0,0.96,561,11712.0,5.72,759,2049,0.2738,0.3704,141,2056,1,2056.0,0,18,12235.0,12890.0,25125.0,35.33333333333333,18.444444444444443,16.88888888888889,6,24.0,12.0,12.0,6386.0,5078.0,11464.0,0.0,0.0,108.0,0.0,0.0,7.9042815178547094,0.19870689765004249,0.0007040229915031072,0.0,20.98250385228245,37.80413692915577,7.54472698391169,7.819255991292925,0.18505747194519673,0.000905172417646852,0.0,20.817422294753722,37.41620586041746,7.515807701595898,0,0.0,8.0,21.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.8660254037844386,0.5000000000000001,0.0,0.0
HM,HMBH,2024-01-01,2024,1,1,1646.0,1.77,470,4809.0,5.17,534,931,0.5048,0.5736,12,892,1,892.0,0,8,4422.0,4253.0,8675.0,12.0,6.0,6.0,4,9.0,4.5,4.5,1781.0,889.24,2670.24,1.0,0.2,32.0,0.9102392266268373,0.3333333333333333,3.212137076087416,0.07594086116640478,0.004610215093419757,0.004153225713619782,17.00263116100142,32.022095927628136,3.2838440539755966,3.1991369804262275,0.07594086116640478,0.004610215093419757,0.004153225713619782,17.00263116100142,32.022095927628136,3.270843991992234,1,0.0323,8.0,22.0,0.263,1,0.018259935,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.982,1,0.49999999999999994,0.8660254037844387,0.0,0.0
HLM,CAS,2024-01-01,2024,1,23,18.0,2.57,5,210.0,30.0,7,7,0.7143,1.0,1,6,6,1.0,0,19,7977.34,9322.34,17299.68,29.42222222222222,13.222222222222221,16.2,10,22.6,12.6,10.0,5530.0,5173.17,10703.17,1.0,0.058823529411764705,190.0,0.5581106265512472,0.16666666666666666,4.467134521548106,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.065521599739911,4.572043021239581,0.09556451626121998,0.006491935561581325,0.0,23.706434238021092,40.421127988446145,4.160080645949409,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
HLM,OVN,2024-01-01,2024,1,2,1126.0,1.0,393,2833.0,2.52,351,1123,0.35,0.3126,122,1125,1,1125.0,0,19,7977.34,9322.34,17299.68,29.42222222222222,13.222222222222221,16.2,3,6.0,4.0,2.0,2258.0,1108.0,3366.0,0.0,0.0,57.0,0.0,0.0,4.467134521548106,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.065521599739911,4.460634372262184,0.09260752761075573,0.007620967644196685,0.0,22.694373001975396,40.57645042352779,4.059021471954521,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,1.0
WD,UT,2024-02-01,2024,2,16,584.0,0.59,212,3110.0,3.14,262,991,0.2139,0.2644,13,1077,1,1077.0,0,12,9624.0,9583.0,19207.0,28.0,14.0,14.0,31,43.03846153846154,21.53846153846154,21.5,22408.09,33103.8,55511.89,2.0,0.08695652173913043,372.0,1.391137573589825,0.4583333333333333,7.876948507524085,0.16824712770209574,0.000905172417646852,0.0,19.3549097337942,34.25637831153541,7.4895203182067,7.762977176527867,0.1790229899102244,0.001910919526955862,0.0,18.63424655966375,34.2796542658203,7.414988690751723,0,0.0,8.0,21.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,0.0
UTVR,BNK,2024-02-01,2024,2,7,659.0,0.5,245,3135.0,2.38,299,1320,0.1856,0.2265,0,1321,1,1321.0,0,6,9450.0,9347.0,18797.0,7.333333333333333,3.6666666666666665,3.6666666666666665,5,11.833333333333332,5.5,6.333333333333333,2667.0,2479.09,5146.09,1.0,0.2,30.0,0.3396232718951086,0.05263157894736842,7.801976939470603,0.1790229899102244,0.001910919526955862,0.0,18.63424655966375,34.2796542658203,7.453988500367636,7.801976939470603,0.1790229899102244,0.001910919526955862,0.0,18.63424655966375,34.2796542658203,7.453988500367636,0,0.0,8.0,21.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8660254037844386,0.5000000000000001,1.0,0.0
