source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
ASD,ASB,2024-04-01,2024,4,10,113.0,1.77,24,298.0,4.66,18,64,64.0,9.0,9.0,0.375,0.2813,11,114,1,114.0,0,17,13058.0,21288.260000000002,34346.26,38.67142857142858,18.571428571428573,20.1,14,17.916666666666664,8.666666666666666,9.25,8738.0,8196.1,16934.1,3,0.2,238,1.4482095377837934,0.38055555555555554,10.011930575770222,104.9000009521842,2.309999942779541,0.0,18.18952933119403,73.799995,10.434777748915884,10.178375248114268,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.582819727063178,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
LEDN,GV,2020-04-01,2020,4,16,0.0,0.0,0,7020.0,60.0,117,117,117.0,0.0,117.0,0.0,1.0,0,136,1,136.0,0,18,13232.0,13991.0,27223.0,35.33333333333333,18.444444444444443,16.88888888888889,16,38.46031746031746,20.88888888888889,17.571428571428573,11836.4,8124.0,19960.4,4,0.26666666666666666,288,2.257875283870333,0.675,10.519374992408686,23.000000223517418,0.0,0.0,14.610434850429495,62.279995,11.439513877199756,10.480097530161341,19.90000032633543,0.0,0.0,14.769160944968462,62.279995,11.204819808734788,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
WP,DVD,2024-04-01,2024,4,9,19.0,0.29,5,1266.0,19.48,43,65,65.0,3.0,40.0,0.0769,0.6615,0,105,41,2.56,0,13,8792.07,8831.56,17623.629999999997,20.88095238095238,10.714285714285714,10.166666666666666,17,20.208333333333336,11.333333333333334,8.875,10325.56,10221.32,20546.879999999997,2,0.14285714285714285,221,1.897814654202382,0.6111111111111112,10.249875131001074,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.654319595959452,10.19137500917746,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.595819438497225,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
DRON,KPNZ,2019-04-01,2019,4,17,622.0,0.63,159,1383.0,1.41,126,982,982.0,105.0,21.0,0.1619,0.1283,12,1120,1,1120.0,0,4,2270.0,2238.0,4508.0,42.0,21.0,21.0,5,40.66666666666667,16.0,24.666666666666668,2269.0,1199.0,3468.0,1,0.25,20,0.48089834696298783,0.125,10.184930575721793,36.20000023394823,0.2800000011920929,0.0,14.14744677129719,67.32,10.67944439103206,10.052708336152136,30.10000016540289,0.21000000089406967,0.0,14.147053063081371,67.67999,10.49402771294117,4,0.1333,8.0,20.0,0.2629,0,0,0.2338,0,0.049898166,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
DRON,KPNZ,2021-04-01,2021,4,17,261.0,0.26,87,1647.0,1.67,84,987,987.0,41.0,43.0,0.0881,0.0851,4,1147,1,1147.0,0,4,2322.0,2296.0,4618.0,42.0,21.0,21.0,5,40.66666666666667,16.0,24.666666666666668,2323.0,1284.7,3607.7,1,0.25,20,0.5581106265512472,0.16666666666666666,6.370972233927912,61.70000020414591,4.900000050663948,0.0006666666517655055,14.383014254603122,75.6,7.250486111972067,6.226111125175117,50.700000531971455,4.9700000286102295,0.0006805555403439535,13.850052160107428,70.56,7.156736117270258,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.045592707,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.954,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
RTA,RTD,2020-04-01,2020,4,10,0.0,0.0,0,2040.0,60.0,34,34,34.0,0.0,34.0,0.0,1.0,0,47,1,47.0,0,8,7179.0,5186.0,12365.0,15.0,7.5,7.5,18,53.45,31.75,21.7,14217.0,17960.0,32177.0,2,0.15384615384615385,144,1.9235933878519513,0.625,10.766208202681607,22.700000301003456,0.0,0.0,13.778511383136113,57.96,11.341416492230362,10.864791682114204,21.30000028759241,0.0,0.0,13.41823633114497,60.120003,11.699583309723272,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
GP,HZE,2020-04-01,2020,4,5,232.0,0.13,87,3219.0,1.86,211,1729,1729.0,118.0,93.0,0.0503,0.122,0,1855,1,1855.0,0,4,2830.0,2781.0,5611.0,11.0,5.5,5.5,4,15.0,7.5,7.5,2829.0,2830.0,5659.0,0,0.0,16,0.0,0.0,11.813444645863234,15.200000286102295,0.0,0.0,11.76691738665104,63.36,12.522541942985521,11.810819629662566,15.10000018030405,0.0,0.0,11.576000470585294,62.639996,12.40366686379744,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
SHL,ASS,2022-04-01,2022,4,15,75.0,0.48,32,1793.0,11.57,63,155,155.0,34.0,29.0,0.2065,0.4065,126,372,4,93.0,0,16,20569.59,16834.0,37403.59,47.12698412698413,24.555555555555557,22.571428571428573,14,25.428571428571427,12.714285714285714,12.714285714285714,27066.0,19969.33,47035.33,2,0.14285714285714285,224,1.876989522792215,0.6,9.057875275917144,43.599999994039536,6.2299999594688416,0.002736111049954262,16.73112310204241,91.439995,9.511903074973572,8.970444558064143,43.70000000298023,5.109999932348728,0.0024166666126499573,16.660098104344474,91.439995,9.474680679710582,4,0.1333,9.0,18.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
BET,TB,2022-04-01,2022,4,27,17.0,1.42,8,4.0,0.33,3,12,12.0,3.0,0.0,0.6667,0.25,0,13,24,0.54,0,10,5495.38,5494.12,10989.5,31.2,15.6,15.6,13,35.0,19.0,16.0,10382.369999999999,7101.63,17484.0,3,0.3333333333333333,130,1.4475247217679175,0.37777777777777777,9.584763981898625,39.90000053495169,3.8499999195337296,0.0024861110555421976,14.93931092619896,83.159996,10.195666799445947,9.717291643429133,34.60000026971102,6.3000000193715096,0.0026527777184835737,15.431359842088487,88.2,10.698819428558151,4,0.1333,9.0,18.0,0.2629,0,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
BHV,DLD,2022-04-01,2022,4,3,735.0,0.37,334,4940.0,2.48,313,1991,1991.0,230.0,83.0,0.1678,0.1572,0,2235,1,2235.0,0,4,4564.0,4564.0,9128.0,9.0,4.5,4.5,6,12.0,6.0,6.0,4611.0,4599.0,9210.0,0,0.0,24,0.0,0.0,9.13838909065558,49.500000298023224,4.9000000059604645,0.003583333273935649,15.567053202456899,90.36,9.51970861159886,9.09137520779752,45.00000062584877,3.640000030398369,0.003583333273935649,15.578806299302313,92.52,9.648597460571263,4,0.1333,9.0,18.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
