source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HM,DN,2021-06-01,2021,6,9,870.0,0.8,357,4001.0,3.66,345,1092,0.3269,0.3159,3,1185,1,1185.0,0,8,4314.0,4153.0,8467.0,12.0,6.0,6.0,6,23.333333333333332,11.666666666666666,11.666666666666666,2365.0,3333.0,5698.0,1,0.16666666666666666,48,1.4426950408889634,0.5,19.201041220294105,100.60000049322844,0.0,0.0,10.604969309353166,51.12,20.262638431125218,19.272943756315442,97.30000022053719,0.0,0.0,10.36880509969261,52.92,20.031901990042794,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,1.0
LAA,GV,2023-06-01,2023,6,2,2804.0,1.32,877,13945.0,6.57,1107,2121,0.4135,0.5219,6,3005,1,3005.0,0,7,10606.0,8153.0,18759.0,11.333333333333332,5.0,6.333333333333333,13,20.214285714285715,10.714285714285714,9.5,12167.0,9113.0,21280.0,2,0.2222222222222222,91,0.9605402309330919,0.25,18.590082854694792,14.900000132620335,0.0,0.0,15.04838203969929,56.88,19.769527207480536,18.5705837726593,14.900000132620335,0.0,0.0,15.04838203969929,56.88,19.750028216838835,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,1.0
RTST,RLB,2024-06-01,2024,6,2,73.0,3.17,17,91.0,3.96,15,23,0.7391,0.6522,2,175,1,175.0,0,5,64.0,245.0,309.0,3.8333333333333335,1.5,2.3333333333333335,7,6.75,3.0,3.75,4317.0,4197.0,8514.0,2,0.4,35,1.531574161186449,0.5333333333333333,15.327791531880697,72.00000064074993,0.0,0.0,13.727914091737734,79.56,16.260152531994713,15.438930806848738,58.60000041127205,0.0,0.0,13.752850494699345,75.24,16.228861331939697,0,0.0,10.0,20.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.17391305,0.0,0.0,0.0,0.174,0.826,3,1.2246467991473532e-16,-1.0,0.0,0.0
AML,HGL,2023-06-01,2023,6,14,1538.0,1.52,236,4881.0,4.81,276,1014,0.2327,0.2722,149,1204,1,1204.0,0,8,3000.0,3586.0,6586.0,30.0,15.0,15.0,7,15.416666666666668,7.75,7.666666666666667,2834.0,1643.0,4477.0,0,0.0,56,0.0,0.0,19.42270831929313,47.200000151991844,0.0,0.0,12.933172341187795,50.039997,20.68500000503328,19.546638451682195,49.09999968111515,0.0,0.0,12.549308749785025,54.719997,20.771152300304838,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.9980276,0.0,0.0,0.0019723866,0.998,0.0,0.0,0.002,0.0,3,1.2246467991473532e-16,-1.0,0.0,1.0
O,HT,2024-06-01,2024,6,19,3179.0,3.56,804,6381.0,7.15,891,893,0.9003,0.9978,9,1192,1,1192.0,0,8,4739.0,4741.0,9480.0,26.0,13.0,13.0,13,40.85714285714286,21.0,19.857142857142858,11080.0,13229.0,24309.0,0,0.0,104,0.0,0.0,15.841624741421805,86.40000037103891,0.0,0.0,13.003931015564335,72.36,16.296694180700513,15.74450003306071,93.10000015795231,0.0,0.0,12.72495844438672,76.32,16.33901389307446,0,0.0,10.0,20.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.0
DV,APD,2023-06-01,2023,6,15,944.0,0.66,254,5283.0,3.68,278,1436,0.1769,0.1936,74,1481,1,1481.0,0,12,6586.0,7012.0,13598.0,29.666666666666668,14.833333333333334,14.833333333333334,5,49.33333333333333,29.0,20.333333333333332,2990.0,3546.0,6536.0,0,0.0,60,0.0,0.0,19.385277479224733,46.20000024884939,0.0,0.0,12.788298597269588,49.68,20.17284686565399,19.579569775528377,48.8000006750226,0.0,0.0,13.285862092839347,48.239998,21.385333772500356,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,1.0
HGL,BN,2023-06-01,2023,6,5,172.0,0.56,76,561.0,1.83,73,307,0.2476,0.2378,6,221,1,221.0,0,7,2834.0,1643.0,4477.0,15.416666666666668,7.75,7.666666666666667,4,12.0,6.0,6.0,422.0,422.0,844.0,0,0.0,28,0.0,0.0,19.546638451682195,49.09999968111515,0.0,0.0,12.549308749785025,54.719997,20.771152300304838,19.546638451682195,49.09999968111515,0.0,0.0,12.549308749785025,54.719997,20.771152300304838,0,0.0,8.0,22.0,0.2629,0,1,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.0
BRN,AMF,2023-06-01,2023,6,9,2314.0,2.47,868,5665.0,6.06,915,935,0.9283,0.9786,2,1085,1,1085.0,0,5,2690.0,3601.0,6291.0,14.666666666666668,8.0,6.666666666666667,15,46.10714285714286,23.857142857142858,22.25,12798.0,12962.0,25760.0,1,0.1,75,0.5138983423697507,0.14285714285714285,19.15661151409149,30.39999994635582,0.0,0.0,12.990907576514616,47.88,20.535083780023786,19.35669373538759,37.79999975860119,0.0,0.0,13.166723086271022,50.399998,20.915096441904705,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.00855615,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.991,3,1.2246467991473532e-16,-1.0,1.0,0.0
DDR,RTB,2023-06-01,2023,6,19,1642.0,0.92,559,10255.0,5.74,498,1787,0.3128,0.2787,49,2665,1,2665.0,0,15,4419.0,9065.380000000001,13484.380000000001,34.64285714285714,17.5,17.142857142857142,8,13.5,6.75,6.75,9745.0,8179.5,17924.5,2,0.2,120,1.0556294164628637,0.30000000000000004,19.44769413338767,20.70000009983778,0.0,0.0,13.739790417667892,48.96,20.32380521694819,19.06673582262463,16.70000024139881,0.0,0.0,13.657418787810538,49.32,20.393749606609344,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.0
HLM,HAD,2021-06-01,2021,6,4,1328.0,0.4,501,9940.0,2.97,487,3349,0.1496,0.1454,185,3469,1,3469.0,0,11,9245.0,11339.5,20584.5,11.333333333333332,5.0,6.333333333333333,6,24.0,12.0,12.0,7002.0,5820.0,12822.0,0,0.0,66,0.0,0.0,16.987208534611597,101.50000046938658,0.0,0.0,12.554549639423689,54.719997,17.93526408142514,17.258666570981344,101.99999991059303,0.0,0.0,12.089671220382055,57.96,18.025472031699287,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.6482532,0.0,0.0,0.0,0.648,0.0,0.0,0.0,0.352,3,1.2246467991473532e-16,-1.0,0.0,0.0
