source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HLM,HAD,2019-06-01,2019,6,4,2221.0,0.7,668,6630.0,2.1,510,3151,0.212,0.1619,163,3372,1,3372.0,0,11,8920.0,10458.0,19378.0,11.333333333333332,5.0,6.333333333333333,6,24.0,12.0,12.0,6731.0,5549.0,12280.0,0,0.0,66,0.0,0.0,17.111375178231132,0.1416666679394742,0.0,0.0,14.829848853415912,29.676999333169725,17.802694639894696,17.292833258046045,0.15027777851662702,0.0,0.0,14.220471442904737,29.236499231391484,17.837069269021352,2,0.0667,10.0,19.0,0.2629,0,0.640749,0.0,0.0,0.0,0.641,0.0,0.0,0.0,0.359,3,1.2246467991473532e-16,-1.0,0.0,1.0
HLM,HAD,2020-01-01,2020,1,4,1560.0,0.45,711,11165.0,3.24,721,3449,0.2061,0.209,218,3372,1,3372.0,0,11,8949.0,11046.0,19995.0,11.333333333333332,5.0,6.333333333333333,6,24.0,12.0,12.0,6756.0,5573.0,12329.0,0,0.0,66,0.0,0.0,6.626341562517869,0.08588709732297287,0.00018817204381189038,0.0,21.214396096605768,38.582418268406265,6.137228668697419,6.591166799367275,0.08104838762352223,0.00018817204381189038,0.0,20.019997679898815,37.35290220540057,6.142174797833607,1,0.0323,8.0,22.0,0.2629,0,0.6480139,0.0,0.0,0.0,0.648,0.0,0.0,0.0,0.352,1,0.49999999999999994,0.8660254037844387,1.0,1.0
HLM,HAD,2022-12-01,2022,12,4,2018.0,0.74,762,10600.0,3.89,617,2722,0.2799,0.2267,148,3380,1,3380.0,0,10,9200.0,10989.0,20189.0,10.0,5.0,5.0,6,24.0,12.0,12.0,6836.0,5650.0,12486.0,0,0.0,60,0.0,0.0,4.109943654177891,0.09502688228523218,0.0007526881752475615,0.0,17.558546526457675,30.898063684663466,3.6247285958179223,3.996879142293486,0.10712365678922144,0.0008467741871392855,0.0,16.563917665952637,29.800160483006508,3.6144865818511973,2,0.0645,9.0,21.0,0.2629,0,0.56429094,0.0,0.0,0.0,0.564,0.0,0.0,0.0,0.436,1,-2.4492935982947064e-16,1.0,1.0,0.0
HLM,HAD,2023-05-01,2023,5,4,1670.0,0.61,679,10441.0,3.8,549,2747,0.2472,0.1999,130,3354,1,3354.0,0,12,9141.25,11135.0,20276.25,11.833333333333332,5.5,6.333333333333333,6,24.0,12.0,12.0,6891.0,5728.0,12619.0,0,0.0,72,0.0,0.0,12.479432987269535,0.09610215017712244,0.0,0.0,14.297034365675783,27.241450894263483,13.477416860800917,12.650306724092012,0.11330645051734742,0.0,0.0,13.86999413282961,27.119999276694433,13.550642726882812,3,0.0968,8.0,21.0,0.2629,0,0.5857299,0.0,0.0,0.0,0.586,0.0,0.0,0.0,0.414,2,0.49999999999999994,-0.8660254037844387,0.0,1.0
HLM,HAD,2024-12-01,2024,12,4,2102.0,0.68,835,10525.0,3.42,756,3080,0.2711,0.2455,1356,3510,1,3510.0,0,12,9744.0,11181.16,20925.16,15.333333333333332,9.0,6.333333333333333,6,24.0,12.0,12.0,7093.0,5983.0,13076.0,1,0.1111111111111111,72,0.3789231816899512,0.07142857142857142,6.87519908696413,0.12284946329491113,0.004516128931314715,0.0,18.02920041609836,37.74822478781464,6.5840700778269,6.830078075890259,0.12822580796175748,0.004798387037089435,0.0,16.863407502571743,36.220644095892546,6.509580730110087,2,0.0645,9.0,20.0,0.2629,0,0.66103894,0.0,0.0,0.0,0.661,0.0,0.0,0.0,0.339,1,-2.4492935982947064e-16,1.0,1.0,1.0
HLMS,HLM,2019-04-01,2019,4,1,2150.0,0.99,998,3252.0,1.5,1065,2167,0.4605,0.4915,0,2243,1,2243.0,0,4,4613.0,4561.0,9174.0,8.0,4.0,4.0,13,16.714285714285715,8.0,8.714285714285714,8920.0,10393.0,19313.0,0,0.0,52,0.0,0.0,10.283513998323016,0.039583333943867025,9.722222263614337e-05,0.0,15.341238597366544,29.4429992251926,10.797402930259704,10.231514063311948,0.039583333943867025,9.722222263614337e-05,0.0,15.341238597366544,29.4429992251926,10.745402982831001,4,0.1333,8.0,20.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
HLMS,HLM,2021-04-01,2021,4,1,662.0,0.3,283,2929.0,1.34,370,2179,0.1299,0.1698,0,2264,1,2264.0,0,4,4672.0,4614.0,9286.0,8.0,4.0,4.0,10,10.0,5.0,5.0,9245.0,11305.0,20550.0,0,0.0,40,0.0,0.0,6.4969166220890155,0.05250000056500236,0.004861111152503226,0.0,16.413632611019743,31.677999058034686,7.397402747803264,6.444916815145148,0.05250000056500236,0.004861111152503226,0.0,16.413632611019743,31.677999058034686,7.345402947399351,4,0.1333,8.0,19.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
RB,BGN,2023-04-01,2023,4,16,629.0,0.45,261,20024.0,14.35,835,1395,0.1871,0.5986,3,1268,1,1268.0,0,4,2552.0,2540.0,5092.0,19.0,9.5,9.5,6,44.0,22.0,22.0,3205.0,2909.0,6114.0,0,0.0,24,0.0,0.0,8.749166666561116,0.10152777904230688,0.0,0.0,15.377160770859984,27.919499249590768,9.103125009602971,8.544638715899136,0.11611111120631297,0.0,0.0,15.043014066914717,29.0284991270966,8.979708125856188,4,0.1333,10.0,17.0,0.2629,1,0.80573475,0.0,0.0,0.0,0.806,0.0,0.0,0.0,0.194,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
RH,DR,2020-06-01,2020,6,6,190.0,0.19,57,1086.0,1.11,83,976,0.0584,0.085,0,1036,1,1036.0,0,4,2070.0,2070.0,4140.0,10.0,5.0,5.0,8,20.5,10.25,10.25,4354.0,4291.0,8645.0,0,0.0,32,0.0,0.0,17.632180988788605,0.10180555686561597,0.0,0.0,12.13216212756104,25.907499282889894,17.972597654660543,17.771236465374628,0.1037500005422367,0.0,0.0,12.587527471284071,26.206499271591504,18.485264372825622,1,0.0333,8.0,21.0,0.2629,0,0.025614753,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.974,3,1.2246467991473532e-16,-1.0,0.0,0.0
RH,DR,2024-03-01,2024,3,6,264.0,0.26,90,1613.0,1.61,124,1004,0.0896,0.1235,0,1016,1,1016.0,0,4,2031.0,2031.0,4062.0,10.0,5.0,5.0,8,20.5,10.25,10.25,4432.0,4388.0,8820.0,0,0.0,32,0.0,0.0,8.669613974031016,0.06662180394054583,0.0016958277326573595,0.0,13.784139273304637,26.606082769293803,8.55258840250295,8.624345032989599,0.06366083477178781,0.0007537012345697806,0.0,13.967886399532873,25.84199122047681,8.600657243908334,2,0.0645,10.0,20.0,0.2629,0,0.060756974,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.939,2,1.0,6.123233995736766e-17,1.0,1.0
