source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
ASD,HVS,2024-04-01,2024,4,29,892.0,1.0,284,1170.0,1.31,28,893,893.0,0.0,28.0,0.318,0.0314,109,1095,1,1095.0,0,17,13058.0,21288.260000000002,34346.26,38.67142857142858,18.571428571428573,20.1,14,21.916666666666664,12.75,9.166666666666666,10664.0,9100.0,19764.0,2,0.125,238,1.256215482888031,0.38888888888888884,10.011930575770222,104.9000009521842,2.309999942779541,0.0,18.18952933119403,73.799995,10.434777748915884,10.386028000008729,91.10000057518482,1.9599999710917473,0.0,17.498472766743767,75.6,10.688805832134353,2,0.0667,8.0,21.0,0.2629,0,0,0.2338,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
ASD,ASDM,2024-04-01,2024,4,4,2943.0,1.04,1104,8173.0,2.88,735,2838,2838.0,538.0,197.0,0.389,0.259,499,3976,1,3976.0,0,17,13058.0,21288.260000000002,34346.26,38.67142857142858,18.571428571428573,20.1,8,5.0,2.5,2.5,8202.33,7614.33,15816.66,1,0.07692307692307693,136,0.6213349345596119,0.2,10.011930575770222,104.9000009521842,2.309999942779541,0.0,18.18952933119403,73.799995,10.434777748915884,10.230375296622515,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.63481977350182,2,0.0667,8.0,21.0,0.2629,0,1,0.2338,1,0.0003523608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
DMNZ,DVD,2019-04-01,2019,4,2,1547.0,0.75,612,4985.0,2.43,304,2051,2051.0,208.0,96.0,0.2984,0.1482,15,2135,1,2135.0,0,4,4196.0,4158.0,8354.0,9.0,4.5,4.5,15,20.482142857142858,11.625,8.857142857142858,11293.0,11456.0,22749.0,0,0.0,60,0.0,0.0,10.38387519440924,26.600000023841858,0.0,0.0,15.237669971254137,66.24,11.03505580690172,10.318875073082745,26.600000023841858,0.0,0.0,15.237669971254137,66.24,10.97005560066965,4,0.1333,8.0,20.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
DMNZ,DVD,2021-04-01,2021,4,2,559.0,0.29,289,3284.0,1.7,272,1929,1929.0,211.0,61.0,0.1498,0.141,4,2221,1,2221.0,0,7,4240.5,4268.0,8508.5,13.083333333333332,8.75,4.333333333333333,15,20.482142857142858,11.625,8.857142857142858,12037.0,11947.0,23984.0,2,0.2,105,0.9360179602764065,0.2361111111111111,6.442694573932224,52.600000225007534,5.039999984204769,0.00015277777436292834,15.507170862290595,72.72,7.603805715342363,6.377694387304493,52.600000225007534,5.039999984204769,0.00011111110862758425,15.507170862290595,72.72,7.5388054662280615,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
DN,HMBH,2020-04-01,2020,4,8,253.0,0.27,138,2942.0,3.11,95,945,945.0,1.0,94.0,0.146,0.1005,0,1022,1,1022.0,0,5,2291.0,3314.0,5605.0,25.166666666666664,13.5,11.666666666666666,3,5.5,4.5,1.0,2019.0,1022.0,3041.0,1,0.25,15,0.7213475204444817,0.25,11.821138679831185,20.600000120699406,0.0,0.0,12.092876423398653,65.88,12.496971999522712,11.729916709591635,15.900000341236591,0.0,0.0,12.209511048429542,62.279995,12.558180621804462,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0021164021,0.0,0.0,0.0010582011,0.002,0.0,0.0,0.001,0.997,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
GDM,CL,2019-04-01,2019,4,8,725.0,0.36,312,2255.0,1.13,260,1992,1992.0,210.0,50.0,0.1566,0.1305,32,2296,1,2296.0,0,6,4584.0,4584.0,9168.0,18.0,9.0,9.0,4,17.0,8.5,8.5,4597.0,4584.0,9181.0,0,0.0,24,0.0,0.0,10.480388992507425,25.300000242888927,0.14000000059604645,0.0,14.049886298510764,59.399998,10.814555620153746,10.473888868186624,25.300000242888927,0.14000000059604645,0.0,14.049886298510764,59.399998,10.808055479327837,4,0.1333,8.0,20.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.000502008,0.0,0.0,0.0,0.001,0.999,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
GDM,CL,2021-04-01,2021,4,8,619.0,0.28,190,2714.0,1.22,235,2227,2227.0,173.0,62.0,0.0853,0.1055,122,2331,1,2331.0,0,8,4668.33,4669.889999999999,9338.22,25.5,13.25,12.25,4,17.0,8.5,8.5,4669.0,4668.0,9337.0,0,0.0,32,0.0,0.0,6.501916655272039,36.000000171363354,6.2299999594688416,0.0005833333202948173,13.974537363813983,70.2,7.4434444247020615,6.495416678503776,36.000000171363354,6.2299999594688416,0.0005416666545594732,13.974537363813983,70.2,7.436944436861409,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
CPS,NWK,2019-04-01,2019,4,4,668.0,0.47,224,2462.0,1.71,244,1436,1436.0,190.0,54.0,0.156,0.1699,0,1490,1,1490.0,0,4,3002.0,3001.0,6003.0,5.0,2.5,2.5,4,13.0,6.5,6.5,3001.0,3002.0,6003.0,0,0.0,16,0.0,0.0,10.401194508221105,32.1000002771616,0.0,0.0,14.58118067847358,65.159996,11.079736214545038,10.420694435708638,32.1000002771616,0.0,0.0,14.58118067847358,65.159996,11.099236102898915,4,0.1333,8.0,20.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
CPS,NWK,2021-04-01,2021,4,4,381.0,0.33,135,1703.0,1.48,156,1149,1149.0,114.0,42.0,0.1175,0.1358,6,1520,1,1520.0,0,4,3070.0,3070.0,6140.0,5.0,2.5,2.5,4,13.0,6.5,6.5,3070.0,3070.0,6140.0,0,0.0,16,0.0,0.0,6.490152932848368,41.400000274181366,4.620000004768372,0.0006388888746086094,14.618490030616522,77.76,7.642305737402704,6.5096527742635875,41.400000274181366,4.620000004768372,0.0006388888746086094,14.618490030616522,77.76,7.661805546283722,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
WP,DVD,2024-04-01,2024,4,9,19.0,0.29,5,1266.0,19.48,43,65,65.0,3.0,40.0,0.0769,0.6615,0,105,41,2.56,0,13,8792.07,8831.56,17623.629999999997,20.88095238095238,10.714285714285714,10.166666666666666,17,20.208333333333336,11.333333333333334,8.875,10325.56,10221.32,20546.879999999997,2,0.14285714285714285,221,1.897814654202382,0.6111111111111112,10.249875131001074,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.654319595959452,10.19137500917746,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.595819438497225,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
