source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
RTST,RLB,2024-06-01,2024,6,2,73.0,3.17,17,91.0,3.96,15,23,0.7391,0.6522,2,175,1,175.0,0,5,64.0,245.0,309.0,3.8333333333333335,1.5,2.3333333333333335,7,6.75,3.0,3.75,4317.0,4197.0,8514.0,2,0.4,35,1.531574161186449,0.5333333333333333,15.327791531880697,72.00000064074993,0.0,0.0,13.727914091737734,79.56,16.260152531994713,15.438930806848738,58.60000041127205,0.0,0.0,13.752850494699345,75.24,16.228861331939697,0,0.0,10.0,20.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.17391305,0.0,0.0,0.0,0.174,0.826,3,1.2246467991473532e-16,-1.0,1.0,0.0
AML,HGL,2023-06-01,2023,6,14,1538.0,1.52,236,4881.0,4.81,276,1014,0.2327,0.2722,149,1204,1,1204.0,0,8,3000.0,3586.0,6586.0,30.0,15.0,15.0,7,15.416666666666668,7.75,7.666666666666667,2834.0,1643.0,4477.0,0,0.0,56,0.0,0.0,19.42270831929313,47.200000151991844,0.0,0.0,12.933172341187795,50.039997,20.68500000503328,19.546638451682195,49.09999968111515,0.0,0.0,12.549308749785025,54.719997,20.771152300304838,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.9980276,0.0,0.0,0.0019723866,0.998,0.0,0.0,0.002,0.0,3,1.2246467991473532e-16,-1.0,0.0,1.0
O,HT,2024-06-01,2024,6,19,3179.0,3.56,804,6381.0,7.15,891,893,0.9003,0.9978,9,1192,1,1192.0,0,8,4739.0,4741.0,9480.0,26.0,13.0,13.0,13,40.85714285714286,21.0,19.857142857142858,11080.0,13229.0,24309.0,0,0.0,104,0.0,0.0,15.841624741421805,86.40000037103891,0.0,0.0,13.003931015564335,72.36,16.296694180700513,15.74450003306071,93.10000015795231,0.0,0.0,12.72495844438672,76.32,16.33901389307446,0,0.0,10.0,20.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,1.0
HN,OBD,2024-06-01,2024,6,11,285.0,0.29,117,1800.0,1.83,58,981,0.1193,0.0591,31,1060,1,1060.0,0,11,4411.0,5081.0,9492.0,42.16666666666667,22.0,20.166666666666668,3,14.5,8.5,6.0,2138.0,1061.0,3199.0,0,0.0,33,0.0,0.0,14.936778069867028,93.8000003322959,0.0,0.0,14.798342175285022,68.03999,15.876986502276527,14.898624917533663,90.00000060349703,0.0,0.0,14.466997554235988,67.67999,15.911680348714192,0,0.0,10.0,20.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.0
DV,APD,2023-06-01,2023,6,15,944.0,0.66,254,5283.0,3.68,278,1436,0.1769,0.1936,74,1481,1,1481.0,0,12,6586.0,7012.0,13598.0,29.666666666666668,14.833333333333334,14.833333333333334,5,49.33333333333333,29.0,20.333333333333332,2990.0,3546.0,6536.0,0,0.0,60,0.0,0.0,19.385277479224733,46.20000024884939,0.0,0.0,12.788298597269588,49.68,20.17284686565399,19.579569775528377,48.8000006750226,0.0,0.0,13.285862092839347,48.239998,21.385333772500356,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.0
HR,AKM,2021-06-01,2021,6,11,366.0,0.42,159,454.0,0.52,67,877,0.1813,0.0764,0,966,1,966.0,0,7,4137.0,3022.0,7159.0,34.083333333333336,18.75,15.333333333333334,4,16.0,8.0,8.0,1953.0,1953.0,3906.0,0,0.0,28,0.0,0.0,16.934819173150593,78.80000019073486,0.0,0.0,11.962413143283792,49.68,17.785583069589403,16.684027983082665,70.80000033974648,0.0,0.0,12.155900890959634,54.0,17.5556253446473,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.102622576,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.897,3,1.2246467991473532e-16,-1.0,0.0,0.0
HGL,BN,2023-06-01,2023,6,5,172.0,0.56,76,561.0,1.83,73,307,0.2476,0.2378,6,221,1,221.0,0,7,2834.0,1643.0,4477.0,15.416666666666668,7.75,7.666666666666667,4,12.0,6.0,6.0,422.0,422.0,844.0,0,0.0,28,0.0,0.0,19.546638451682195,49.09999968111515,0.0,0.0,12.549308749785025,54.719997,20.771152300304838,19.546638451682195,49.09999968111515,0.0,0.0,12.549308749785025,54.719997,20.771152300304838,0,0.0,8.0,22.0,0.2629,0,1,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,1.0
DDR,RTB,2023-06-01,2023,6,19,1642.0,0.92,559,10255.0,5.74,498,1787,0.3128,0.2787,49,2665,1,2665.0,0,15,4419.0,9065.380000000001,13484.380000000001,34.64285714285714,17.5,17.142857142857142,8,13.5,6.75,6.75,9745.0,8179.5,17924.5,2,0.2,120,1.0556294164628637,0.30000000000000004,19.44769413338767,20.70000009983778,0.0,0.0,13.739790417667892,48.96,20.32380521694819,19.06673582262463,16.70000024139881,0.0,0.0,13.657418787810538,49.32,20.393749606609344,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,1.0
ASDZ,RAI,2023-06-01,2023,6,1,1225.0,0.7,425,6466.0,3.71,472,1742,0.244,0.271,20,2112,1,2112.0,0,10,15071.0,12369.0,27440.0,20.4,10.2,10.2,4,4.0,2.0,2.0,4171.0,4101.0,8272.0,1,0.16666666666666666,40,0.45511961331341866,0.1111111111111111,18.502444373236763,12.600000128149986,0.0,0.0,13.666252849168247,48.239998,19.47855548593733,18.495944129096138,12.600000128149986,0.0,0.0,13.666252849168247,48.239998,19.472055241796706,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,1.0
ASD,ASB,2024-06-01,2024,6,10,140.0,2.64,25,138.0,2.6,12,53,0.4717,0.2264,10,114,1,114.0,0,19,13017.0,21351.08,34368.08,36.17045454545455,18.625,17.545454545454547,16,23.75,11.875,11.875,8889.0,8718.36,17607.36,5,0.3333333333333333,304,2.44759451384186,0.6504901960784314,15.084778033362495,87.90000110864639,0.0,0.0,13.712242991560036,65.88,16.218736506832972,15.238097596168519,80.60000030696392,0.0,0.0,14.560355821417438,69.479996,16.26011148956087,0,0.0,10.0,20.0,0.2629,0,1,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.0
