source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
ARN,MDB,2019-06-01,2019,6,4,1142.0,1.06,280,3969.0,3.68,352,161,1079,1079.0,254.0,98.0,0.2595,0.3262,0.1492,0,1121,1,1121.0,0,4,2252.0,2252.0,4504.0,19.0,9.5,9.5,7,17.833333333333336,8.5,9.333333333333334,2341.0,2296.0,4637.0,1,0.2,28,0.7213475204444817,0.25,17.27118055820465,84.80000047385693,0.0,0.0,14.091560706661808,86.76,17.880833298630186,17.001500222418045,81.30000019073486,0.0,0.0,15.490607340799437,89.64,17.981916899151273,2,0.0667,10.0,19.0,0.263,1,1,0.2447,1,0.3262,0.1492,0.9990732,0.0,0.0,0.00092678407,0.999,0.0,0.0,0.001,0.0,3,1.2246467991473532e-16,-1.0,0.08352868258953094,0.100163035094738
ALMO,ALMB,2022-06-01,2022,6,2,512.0,0.22,185,6737.0,2.93,247,156,2302,2302.0,111.0,136.0,0.0804,0.1073,0.0678,60,2408,1,2408.0,0,4,2702.0,3487.0,6189.0,18.0,9.0,9.0,7,11.5,7.5,4.0,6138.0,4422.0,10560.0,1,0.2,28,0.6213349345596119,0.2,16.502596978346507,101.19999987632036,0.0,0.0,14.194959017468824,65.520004,17.32120809952418,16.48959695763058,101.19999987632036,0.0,0.0,14.194959017468824,65.520004,17.308207983440823,2,0.0667,8.0,21.0,0.263,0,0,0.2447,0,0.1073,0.0678,0.00043440488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.11830278486013412,0.12625432014465332
ASB,ASD,2022-06-01,2022,6,10,233.0,2.03,65,803.0,6.98,72,31,115,115.0,53.0,19.0,0.5652,0.6261,0.2696,22,57,1,57.0,0,14,9628.17,9554.0,19182.17,19.714285714285715,9.857142857142858,9.857142857142858,21,35.88181818181818,18.7,17.181818181818183,10314.0,23344.0,33658.0,5,0.35714285714285715,294,2.468419645252027,0.6616013071895425,16.248930958244536,97.69999991357327,0.0,0.0,13.19907662206226,56.88,17.244417060746088,16.106583727068372,106.200000166893,0.0,0.0,12.567746569795741,55.44,17.137694962819417,2,0.0667,8.0,21.0,0.263,1,1,0.2447,1,0.6261,0.2696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.33900657296180725,0.20624616742134094
ZDK,PMW,2022-06-01,2022,6,10,883.0,0.76,332,5470.0,4.72,388,185,1159,1159.0,254.0,134.0,0.2865,0.3348,0.1596,0,1207,1,1207.0,0,4,2408.0,2397.0,4805.0,13.0,6.5,6.5,4,11.0,5.5,5.5,2408.0,2408.0,4816.0,0,0.0,16,0.0,0.0,16.07630556424459,114.10000051558018,0.0,0.0,12.819707633223798,54.0,17.041652671496074,16.2797497385078,104.000000461936,0.0,0.0,14.857262088027266,60.479996,17.220930319362218,2,0.0667,8.0,21.0,0.263,1,1,0.2447,1,0.3348,0.1596,0.04314064,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.957,3,1.2246467991473532e-16,-1.0,0.1822132170200348,0.16291433572769165
MP,ZL,2022-06-01,2022,6,28,1445.0,1.21,760,5041.0,4.22,671,166,1195,1195.0,543.0,128.0,0.636,0.5615,0.1389,14,1763,1,1763.0,0,6,5915.0,4958.0,10873.0,41.333333333333336,20.666666666666668,20.666666666666668,14,86.54166666666666,47.166666666666664,39.375,5143.0,9988.0,15131.0,1,0.09090909090909091,84,0.7213475204444817,0.25,16.416527777910233,75.20000047236681,0.0,0.0,12.198544973880052,66.96,16.93645832538605,16.615000008874468,100.79999954253435,0.0,0.0,12.775545815957917,67.67999,17.20374999576145,2,0.0667,8.0,21.0,0.263,1,1,0.2447,1,0.5615,0.1389,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.13560239970684052,0.09855714440345764
RH,VP,2022-06-01,2022,6,4,322.0,0.33,126,2489.0,2.52,178,89,986,986.0,115.0,63.0,0.1278,0.1805,0.0903,2,1019,1,1019.0,0,4,2044.0,2042.0,4086.0,10.0,5.0,5.0,4,7.0,3.5,3.5,2042.0,2042.0,4084.0,0,0.0,16,0.0,0.0,17.160444864961836,99.1999991685152,0.0,0.0,11.832126153757175,57.6,17.636694884300233,17.15115312072966,111.10000062733889,0.0,0.0,12.046116947548256,57.239998,17.679278251859877,2,0.0667,8.0,21.0,0.263,0,0,0.2447,0,0.1805,0.0903,0.02535497,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.975,3,1.2246467991473532e-16,-1.0,0.14771336317062378,0.19564232230186462
BTL,OT,2022-06-01,2022,6,9,451.0,0.45,164,2714.0,2.69,219,103,1010,1010.0,143.0,76.0,0.1624,0.2168,0.102,32,1977,1,1977.0,0,8,5634.0,5494.0,11128.0,21.8,12.8,9.0,4,17.0,8.5,8.5,3052.0,3052.0,6104.0,1,0.16666666666666666,32,0.5581106265512472,0.16666666666666666,17.59402779340744,111.50000115483999,0.0,0.0,11.764176522526476,57.239998,18.489513903194002,17.56711088286506,131.4000010341406,0.0,0.0,12.219579494910107,60.120003,18.513985856374106,2,0.0667,8.0,21.0,0.263,0,1,0.2447,0,0.2168,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.15578784048557281,0.12699952721595764
GVMW,GV,2020-06-01,2020,6,1,1247.0,0.72,597,3070.0,1.77,535,128,1734,1734.0,478.0,57.0,0.3443,0.3085,0.0738,6,1928,1,1928.0,0,4,3831.0,3828.0,7659.0,3.0,1.5,1.5,17,40.57142857142857,23.0,17.571428571428573,11055.5,8135.0,19190.5,0,0.0,68,0.0,0.0,16.77374997801251,85.00000048428774,0.0,0.0,15.459958305044307,76.32,17.81722220844693,16.734750419855118,85.00000048428774,0.0,0.0,15.459958305044307,76.32,17.77822265095181,1,0.0333,8.0,21.0,0.263,1,1,0.2447,1,0.3085,0.0738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.04446534439921379,0.14191724359989166
HVS,NDB,2019-06-01,2019,6,6,432.0,0.4,165,1298.0,1.19,205,66,1089,1089.0,186.0,19.0,0.1515,0.1882,0.0606,16,1211,1,1211.0,0,16,10914.0,9368.0,20282.0,27.88888888888889,12.0,15.88888888888889,8,19.0,9.5,9.5,6641.0,6636.0,13277.0,0,0.0,128,0.0,0.0,17.941305428081087,122.80000066012144,0.0,0.0,13.155058264566792,92.88,18.39866651031706,17.93943095472124,133.60000003129244,0.0,0.0,13.658285109202067,96.12,18.37950047387017,2,0.0667,10.0,19.0,0.263,0,0,0.2447,0,0.1882,0.0606,0.13039486,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.87,3,1.2246467991473532e-16,-1.0,0.08941850811243057,0.07288642972707748
WC,RVS,2019-06-01,2019,6,7,809.0,0.8,267,3392.0,3.36,247,134,1011,1011.0,154.0,93.0,0.2641,0.2443,0.1325,0,1070,1,1070.0,0,4,2129.0,2883.0,5012.0,11.0,5.5,5.5,4,15.0,7.5,7.5,2130.0,2130.0,4260.0,0,0.0,16,0.0,0.0,18.825583081775243,74.50000014901161,0.0,0.0,12.600200922911366,86.76,19.07419422070185,18.82269489367803,95.30000051856041,0.0,0.0,12.995046978195509,84.6,19.250403311517502,2,0.0667,10.0,19.0,0.263,0,1,0.2447,0,0.2443,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.11176634579896927,0.10261191427707672
