source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HLO,CAS,2019-06-01,2019,6,7,702.0,0.34,159,4092.0,1.95,217,140,2094,2094.0,101.0,116.0,0.0759,0.1036,0.0669,0,2487,1,2487.0,0,4,4989.0,4565.0,9554.0,12.0,6.0,6.0,10,20.0,10.0,10.0,6473.0,5925.0,12398.0,1,0.16666666666666666,40,0.9102392266268373,0.3333333333333333,16.837333774566652,88.20000030845404,0.0,0.0,15.708018164005544,95.76,17.61983392371072,16.907916674349043,92.60000102967024,0.0,0.0,15.520882320693797,95.03999,17.709305543369716,2,0.0667,10.0,19.0,0.263,0,0,0.2447,0,0.1036,0.0669,0.4756447,0.0,0.0,0.0,0.476,0.0,0.0,0.0,0.524,3,1.2246467991473532e-16,-1.0,0.18634511530399323,0.09843818843364716
YPB,VB,2020-06-01,2020,6,4,1106.0,0.75,628,18302.0,12.35,647,361,1482,1482.0,326.0,321.0,0.4238,0.4366,0.2436,3,1820,1,1820.0,0,4,3620.0,3641.0,7261.0,9.0,4.5,4.5,3,7.5,3.5,4.0,3620.0,1800.0,5420.0,0,0.0,12,0.0,0.0,16.8729996893141,79.40000031888485,0.0,0.0,14.095116514712572,70.56,17.766055115063985,16.760749931467902,85.00000048428774,0.0,0.0,15.459958305044307,76.32,17.804222003618875,1,0.0333,8.0,21.0,0.263,1,1,0.2447,1,0.4366,0.2436,0.0006747638,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,3,1.2246467991473532e-16,-1.0,0.2759861648082733,0.13910099864006042
ZBM,GDM,2022-06-01,2022,6,9,1114.0,1.0,524,3059.0,2.75,302,117,1114,1114.0,238.0,64.0,0.4704,0.2711,0.105,0,1159,1,1159.0,0,3,2624.0,1159.0,3783.0,20.0,11.0,9.0,6,18.0,9.0,9.0,4967.0,4958.0,9925.0,0,0.0,18,0.0,0.0,17.228013664484024,138.5999995097518,0.0,0.0,12.32982473505868,63.0,17.900374726454416,16.995528294642767,115.90000079572201,0.0,0.0,12.719945710566309,62.279995,17.74226453701655,2,0.0667,8.0,21.0,0.263,1,1,0.2447,1,0.2711,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.2052571177482605,0.2153746485710144
VL,BR,2019-06-01,2019,6,2,1058.0,1.07,294,1890.0,1.92,62,62,986,986.0,0.0,62.0,0.2982,0.0629,0.0629,20,1093,1,1093.0,0,1,0.0,1093.0,1093.0,2.0,0.0,2.0,3,16.0,6.0,10.0,2182.0,1094.0,3276.0,0,0.0,3,0.0,0.0,19.746193822224935,42.40000003576279,0.0,0.0,11.992122799985939,78.84,20.24758259455363,19.759194072087606,42.40000003576279,0.0,0.0,11.992122799985939,78.84,20.260582949055564,2,0.0667,10.0,19.0,0.263,0,0,0.2447,0,0.0629,0.0629,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.05406638979911804,0.28232747316360474
ZDK,PMW,2022-06-01,2022,6,10,883.0,0.76,332,5470.0,4.72,388,185,1159,1159.0,254.0,134.0,0.2865,0.3348,0.1596,0,1207,1,1207.0,0,4,2408.0,2397.0,4805.0,13.0,6.5,6.5,4,11.0,5.5,5.5,2408.0,2408.0,4816.0,0,0.0,16,0.0,0.0,16.07630556424459,114.10000051558018,0.0,0.0,12.819707633223798,54.0,17.041652671496074,16.2797497385078,104.000000461936,0.0,0.0,14.857262088027266,60.479996,17.220930319362218,2,0.0667,8.0,21.0,0.263,1,1,0.2447,1,0.3348,0.1596,0.04314064,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.957,3,1.2246467991473532e-16,-1.0,0.22422559559345245,0.24646900594234467
RH,VP,2022-06-01,2022,6,4,322.0,0.33,126,2489.0,2.52,178,89,986,986.0,115.0,63.0,0.1278,0.1805,0.0903,2,1019,1,1019.0,0,4,2044.0,2042.0,4086.0,10.0,5.0,5.0,4,7.0,3.5,3.5,2042.0,2042.0,4084.0,0,0.0,16,0.0,0.0,17.160444864961836,99.1999991685152,0.0,0.0,11.832126153757175,57.6,17.636694884300233,17.15115312072966,111.10000062733889,0.0,0.0,12.046116947548256,57.239998,17.679278251859877,2,0.0667,8.0,21.0,0.263,0,0,0.2447,0,0.1805,0.0903,0.02535497,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.975,3,1.2246467991473532e-16,-1.0,0.14335355162620544,0.17841553688049316
PMW,ZDK,2022-06-01,2022,6,10,578.0,0.49,246,5674.0,4.85,381,165,1169,1169.0,242.0,139.0,0.2104,0.3259,0.1411,0,1201,1,1201.0,0,4,2408.0,2408.0,4816.0,11.0,5.5,5.5,4,13.0,6.5,6.5,2408.0,2397.0,4805.0,0,0.0,16,0.0,0.0,16.2797497385078,104.000000461936,0.0,0.0,14.857262088027266,60.479996,17.220930319362218,16.07630556424459,114.10000051558018,0.0,0.0,12.819707633223798,54.0,17.041652671496074,2,0.0667,8.0,21.0,0.263,1,1,0.2447,1,0.3259,0.1411,0.02566296,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.974,3,1.2246467991473532e-16,-1.0,0.2566339373588562,0.21848797798156738
SPTN,DRH,2020-06-01,2020,6,1,365.0,0.35,171,1546.0,1.48,213,60,1046,1046.0,175.0,38.0,0.1635,0.2036,0.0574,5,1191,1,1191.0,0,4,2444.0,2445.0,4889.0,3.0,1.5,1.5,4,6.0,3.0,3.0,2446.0,2445.0,4891.0,0,0.0,16,0.0,0.0,16.640764129161834,75.90000084042549,0.0,0.0,15.5847245203952,73.799995,17.524653126133813,16.64726437330246,75.90000084042549,0.0,0.0,15.5847245203952,73.799995,17.53115337027444,1,0.0333,8.0,21.0,0.263,0,1,0.2447,0,0.2036,0.0574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.13967148959636688,0.31642696261405945
EKZ,BKF,2020-06-01,2020,6,3,105.0,0.08,35,6660.0,5.3,168,168,1257,1257.0,0.0,168.0,0.0278,0.1337,0.1337,26,2043,1,2043.0,0,1,0.0,2043.0,2043.0,3.0,0.0,3.0,3,3.0,2.0,1.0,3973.0,2043.0,6016.0,0,0.0,3,0.0,0.0,17.03897188504537,59.90000034868717,0.0,0.0,17.486198597649732,76.67999,18.271332873238457,17.05197198788325,59.90000034868717,0.0,0.0,17.486198597649732,76.67999,18.284333080715605,1,0.0333,8.0,21.0,0.263,0,0,0.2447,0,0.1337,0.1337,0.9769292,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.023,3,1.2246467991473532e-16,-1.0,0.07574907690286636,0.30853188037872314
GVMW,GV,2020-06-01,2020,6,1,1247.0,0.72,597,3070.0,1.77,535,128,1734,1734.0,478.0,57.0,0.3443,0.3085,0.0738,6,1928,1,1928.0,0,4,3831.0,3828.0,7659.0,3.0,1.5,1.5,17,40.57142857142857,23.0,17.571428571428573,11055.5,8135.0,19190.5,0,0.0,68,0.0,0.0,16.77374997801251,85.00000048428774,0.0,0.0,15.459958305044307,76.32,17.81722220844693,16.734750419855118,85.00000048428774,0.0,0.0,15.459958305044307,76.32,17.77822265095181,1,0.0333,8.0,21.0,0.263,1,1,0.2447,1,0.3085,0.0738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.1629590541124344,0.29774633049964905
