source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,LogisticRegression_TOP_pred,LogisticRegression_TOP_proba
RTN,RTA,2024-03-01,2024,3,5,1214.0,0.99,569,5335.0,4.34,660,1229,0.463,0.537,0,1176,1,1176.0,0,3,2348.0,1176.0,3524.0,10.0,5.0,5.0,7,14.166666666666668,7.5,6.666666666666667,5779.0,4071.0,9850.0,1.0,0.2,21.0,0.45511961331341866,0.1111111111111111,8.6823047879246,0.08829071404836059,9.421265181429774e-05,0.0,14.98373087209776,28.45453493624003,8.738697746720963,8.731252294289472,0.08734858754024531,0.0005652759309411851,0.0,15.65530166828135,29.18858597512842,8.900094825839611,2,0.0645,10.0,20.0,0.263,1,0.00081366964,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,1.0,6.123233995736766e-17,1.0,0.6501364209705371
RSD,ODB,2024-03-01,2024,3,7,530.0,0.58,233,1230.0,1.34,28,921,0.253,0.0304,58,863,1,863.0,0,9,2340.4,4638.0,6978.4,40.55,21.75,18.8,3,15.5,7.5,8.0,1758.0,863.0,2621.0,0.0,0.0,27.0,0.0,0.0,8.705557949449942,0.10026917962575504,0.0018842529660920595,0.0,14.287327263589502,27.573189069894248,8.615517571668766,8.706341374369682,0.11372813012847027,0.0022611037137370412,0.0,14.535187939856286,27.347401668374022,8.603784198716061,2,0.0645,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0010857764,0.0,0.0,0.0,0.001,0.999,2,1.0,6.123233995736766e-17,0.0,0.2522635660613978
ALMM,AMPO,2024-03-01,2024,3,2,1165.0,0.48,478,6297.0,2.59,595,2433,0.1965,0.2446,2,2430,1,2430.0,0,4,4824.0,3833.0,8657.0,3.0,1.5,1.5,8,20.0,10.0,10.0,4965.0,4965.0,9930.0,1.0,0.2,32.0,0.43429448190325176,0.1,8.567643061139863,0.061238224381232484,0.001130551821771573,0.0,15.842412912669124,29.508855199749664,8.613336182218221,8.580643340203194,0.061238224381232484,0.001130551821771573,0.0,15.842412912669124,29.508855199749664,8.626336486952463,2,0.0645,10.0,20.0,0.263,0,0.0008220304,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,1.0,6.123233995736766e-17,1.0,0.7353754219017363
RSD,DDR,2024-03-01,2024,3,38,1225.0,1.09,371,10966.0,9.8,708,1119,0.3315,0.6327,93,1174,1,1174.0,0,9,2340.4,4638.0,6978.4,40.55,21.75,18.8,13,35.35714285714286,17.857142857142858,17.5,2642.0,7021.0,9663.0,1.0,0.09090909090909091,117.0,0.6213349345596119,0.2,8.705557949449942,0.10026917962575504,0.0018842529660920595,0.0,14.287327263589502,27.573189069894248,8.615517571668766,8.754766074356448,0.1016150741746416,0.001601615090870761,0.0,15.001650451651171,28.04414452774849,8.72300298185079,2,0.0645,10.0,20.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,0.0,0.4647246271851739
BN,AMRI,2024-03-01,2024,3,7,77.0,0.4,25,347.0,1.82,33,191,0.1309,0.1728,0,189,1,189.0,0,4,359.0,359.0,718.0,12.0,6.0,6.0,4,9.0,4.5,4.5,359.0,359.0,718.0,0.0,0.0,16.0,0.0,0.0,8.577963424763801,0.06756393123082165,0.0027321668424484385,0.0,13.40484127574782,26.17485796554894,8.397142444292276,8.535828363305788,0.06796769920139903,0.00047106325907148873,0.0,13.730691989690747,26.262071985575904,8.384145988269257,2,0.0645,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.38195004951819056
RSD,ETN,2024-03-01,2024,3,13,818.0,0.74,315,3413.0,3.1,135,1101,0.2861,0.1226,33,1112,1,1112.0,0,9,2340.4,4638.0,6978.4,40.55,21.75,18.8,4,24.0,12.0,12.0,2304.0,1186.4,3490.4,0.0,0.0,36.0,0.0,0.0,8.705557949449942,0.10026917962575504,0.0018842529660920595,0.0,14.287327263589502,27.573189069894248,8.615517571668766,8.699841173227831,0.11372813012847027,0.0022611037137370412,0.0,14.535187939856286,27.347401668374022,8.59728396420203,2,0.0645,10.0,20.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,0.0,0.2752794641168949
RSD,ZLW,2024-03-01,2024,3,23,91.0,1.38,23,446.0,6.76,23,66,0.3485,0.3485,1,21,1,21.0,0,9,2340.4,4638.0,6978.4,40.55,21.75,18.8,10,28.0,14.0,14.0,3933.0,3932.0,7865.0,1.0,0.1111111111111111,90.0,0.5138983423697507,0.14285714285714285,8.705557949449942,0.10026917962575504,0.0018842529660920595,0.0,14.287327263589502,27.573189069894248,8.615517571668766,8.737027793521033,0.09098250406868204,9.421265181429774e-05,0.0,14.739957206101629,27.194777156591094,8.60721621763658,2,0.0645,10.0,20.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,0.0,0.3804583747264542
HMBH,HM,2024-03-01,2024,3,1,564.0,0.85,233,1366.0,2.06,257,662,0.352,0.3882,0,917,1,917.0,0,4,1825.0,931.5,2756.5,9.0,4.5,4.5,8,12.0,6.0,6.0,4371.0,4205.0,8576.0,1.0,0.2,32.0,0.9102392266268373,0.3333333333333333,8.952541544171073,0.11359354039380881,0.001130551821771573,0.0,13.273519863671602,25.863794706711698,8.842985659556946,8.965541801253687,0.11359354039380881,0.001130551821771573,0.0,13.273519863671602,25.863794706711698,8.855985977768416,2,0.0645,10.0,20.0,0.263,1,0.009063444,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.991,2,1.0,6.123233995736766e-17,1.0,0.6040411172608092
GVMW,GV,2024-03-01,2024,3,1,1255.0,0.73,376,3854.0,2.24,441,1718,0.2189,0.2567,5,1816,1,1816.0,0,4,3653.0,3653.0,7306.0,3.0,1.5,1.5,11,14.533333333333335,8.333333333333334,6.2,9814.0,7522.67,17336.67,0.0,0.0,44.0,0.0,0.0,8.517496635743779,0.09407806254091045,0.0013189771254001684,0.0,16.623138072994482,31.150416378698953,8.733714659153051,8.47849686983296,0.09407806254091045,0.0013189771254001684,0.0,16.623138072994482,31.150416378698953,8.694714923886881,2,0.0645,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,1.0,0.5795118547420932
SPTN,DRH,2024-03-01,2024,3,1,985.0,0.85,402,2616.0,2.25,440,1161,0.3463,0.379,3,984,1,984.0,0,4,2000.0,2040.0,4040.0,3.0,1.5,1.5,4,6.0,3.0,3.0,2000.0,2000.0,4000.0,0.0,0.0,16.0,0.0,0.0,8.349801424053444,0.06890982591006829,0.0,0.0,17.41042084063367,32.25415798408026,8.513058452554858,8.356301473977588,0.06890982591006829,0.0,0.0,17.41042084063367,32.25415798408026,8.519558511223158,2,0.0645,10.0,20.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.45526176271718366
