source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,RandomForestClassifier_ALLF_pred,RandomForestClassifier_ALLF_proba
CAS,AMR,2024-03,2024,3,12,110.0,2.56,33,170.0,3.95,35,43,0.7674,0.814,0,63,1,63.0,0,10,6494.0,5949.0,12443.0,25.2,12.6,12.6,6,12.0,6.0,6.0,4647.0,5593.0,10240.0,1,0.14285714285714285,60,1.4426950408889634,0.5,8.254643339327815,0.05908479244720246,0.0,0.0,18.36355614533816,32.2774149700899,8.367092859696893,8.223474014976624,0.07267833175200313,9.421265181429774e-05,0.0,18.899561962561524,33.14858584192206,8.329126766841473,2,0.0645,10.0,20.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.59
ASB,SHL,2024-03,2024,3,17,4.0,0.13,4,79.0,2.55,6,31,0.129,0.1935,3,35,1,35.0,0,18,9357.57,8817.34,18174.91,17.333333333333332,8.666666666666666,8.666666666666666,17,43.986111111111114,22.11111111111111,21.875,18787.0,16155.0,34942.0,2,0.125,306,0.9605402309330919,0.25,8.456308421665053,0.06393001432133234,0.00037685060725719096,0.0,15.755852521187846,28.374588719287118,8.601261317970614,8.488792967266862,0.07362045850078318,0.0007537012145143819,0.0,15.47013106496947,29.499649301351802,8.652857617125376,2,0.0645,10.0,20.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.89
SGN,HWD,2024-03,2024,3,14,940.0,0.76,471,5170.0,4.19,571,1234,0.3817,0.4627,0,1282,1,1282.0,0,4,2587.0,2589.0,5176.0,23.0,11.5,11.5,6,17.333333333333332,8.666666666666666,8.666666666666666,4713.0,4707.0,9420.0,0,0.0,24,0.0,0.0,8.28171150135641,0.0811574706659824,0.0016958277326573595,0.0,15.755535174587372,28.664332964539046,8.328279498448122,8.360418833280796,0.0682368781292262,0.0016016150507599638,0.0,16.168082024495984,29.30729398047138,8.490701497643986,2,0.0645,10.0,20.0,0.2629,1,0.9732577,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.027,2,1.0,6.123233995736766e-17,1.0,0.88
ZDK,ZD,2024-03,2024,3,3,594.0,0.63,294,1655.0,1.77,314,937,0.3138,0.3351,0,1026,1,1026.0,0,4,2039.0,2041.0,4080.0,13.0,6.5,6.5,10,24.4,12.2,12.2,9180.0,9294.0,18474.0,0,0.0,40,0.0,0.0,8.403150991588069,0.09905787410959101,0.002072678329886851,0.0,15.914257399647585,28.961829666815408,8.608063534162888,8.442922187044033,0.07967698619190809,9.421265181429774e-05,0.0,15.34171527760507,28.164306127206796,8.615735131991503,2,0.0645,10.0,20.0,0.2629,1,0.03308431,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.967,2,1.0,6.123233995736766e-17,1.0,0.74
OBD,HWD,2024-03,2024,3,6,537.0,0.53,235,1587.0,1.56,254,1018,0.2308,0.2495,0,1061,1,1061.0,0,4,2123.0,1202.0,3325.0,17.0,8.5,8.5,6,17.333333333333332,8.666666666666666,8.666666666666666,4713.0,4707.0,9420.0,0,0.0,24,0.0,0.0,8.353918775575158,0.0682368781292262,0.0016016150507599638,0.0,16.168082024495984,29.30729398047138,8.48420143608771,8.360418833280796,0.0682368781292262,0.0016016150507599638,0.0,16.168082024495984,29.30729398047138,8.490701497643986,2,0.0645,10.0,20.0,0.2629,0,0.069744594,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.93,2,1.0,6.123233995736766e-17,0.0,0.37
WDN,RSN,2024-03,2024,3,8,323.0,0.33,167,1841.0,1.91,212,966,0.1729,0.2195,1,1112,1,1112.0,0,4,2044.0,1399.0,3443.0,13.0,6.5,6.5,4,15.0,7.5,7.5,2193.0,2121.0,4314.0,0,0.0,16,0.0,0.0,8.529328651856606,0.06796769920139903,0.00047106325907148873,0.0,13.730691989690747,26.262071985575904,8.377646263001905,8.548234662590085,0.0803499336919746,9.421265181429774e-05,0.0,14.053765413177127,27.20640566981176,8.44742710272685,2,0.0645,10.0,20.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.12
ZWD,RTB,2024-03,2024,3,17,5.0,0.07,3,56.0,0.81,22,69,0.0435,0.3188,0,506,42,12.05,0,6,4024.3,2394.05,6418.35,17.333333333333332,8.666666666666666,8.666666666666666,10,18.333333333333336,8.333333333333334,10.0,9384.650000000001,7849.3,17233.95,1,0.125,60,0.5138983423697507,0.14285714285714285,8.734724086675477,0.09488559986588772,0.0,0.0,15.103571365531007,27.79752274509394,8.774360692677556,8.6498050696115,0.08829071404836059,9.421265181429774e-05,0.0,14.98373087209776,28.45453493624003,8.706198080070568,2,0.0645,10.0,20.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.61
HKS,HNK,2024-03,2024,3,9,352.0,0.27,118,8701.0,6.61,361,1316,0.0897,0.2743,30,1446,1,1446.0,0,4,2848.0,2848.0,5696.0,13.0,6.5,6.5,4,10.0,5.0,5.0,2847.0,3527.0,6374.0,0,0.0,16,0.0,0.0,8.429771820918067,0.05181695888894403,0.00018842530362859548,0.0,19.319314794456975,34.604575132778166,8.589866024648838,8.380258405673873,0.06110363435576774,0.0006594885326169863,0.0,16.82344548538588,30.27149315637663,8.539746941018393,2,0.0645,10.0,20.0,0.2629,1,0.9840425,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.016,2,1.0,6.123233995736766e-17,1.0,0.83
CAS,HLM,2024-03,2024,3,23,10.0,0.14,7,100.0,1.35,10,74,0.0946,0.1351,0,165,1,165.0,0,10,6494.0,5949.0,12443.0,25.2,12.6,12.6,16,24.0,12.0,12.0,9377.5,10787.5,20165.0,0,0.0,160,0.0,0.0,8.254643339327815,0.05908479244720246,0.0,0.0,18.36355614533816,32.2774149700899,8.367092859696893,8.336801681512137,0.06890982591006829,0.0,0.0,17.41042084063367,32.25415798408026,8.500058731192054,2,0.0645,10.0,20.0,0.2629,0,0.972973,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.027,2,1.0,6.123233995736766e-17,1.0,0.66
HKS,BKG,2024-03,2024,3,4,1168.0,0.93,284,9223.0,7.31,510,1262,0.225,0.4041,21,1402,1,1402.0,0,4,2848.0,2848.0,5696.0,13.0,6.5,6.5,4,5.0,2.5,2.5,2847.0,2848.0,5695.0,0,0.0,16,0.0,0.0,8.429771820918067,0.05181695888894403,0.00018842530362859548,0.0,19.319314794456975,34.604575132778166,8.589866024648838,8.423272125814036,0.05181695888894403,0.00018842530362859548,0.0,19.319314794456975,34.604575132778166,8.58336636644674,2,0.0645,10.0,20.0,0.2629,1,0.98098254,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.019,2,1.0,6.123233995736766e-17,1.0,0.91
