source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,XGBClassifier_TOP_pred,XGBClassifier_TOP_proba
BGN,RB,2024-03,2024,3,16,2238.0,1.89,756,7607.0,6.43,873,1183,0.6391,0.738,18,1712.0,1,1712.0,0,6,4181.0,3739.0,7920.0,44.0,22.0,22.0,4,19.0,9.5,9.5,3462.0,3462.0,6924.0,0,0.0,24,0.0,0.0,8.702541539357776,0.10672947627017186,0.001695827752712758,0.0,14.057209706482945,27.19138550662096,8.63914986349853,8.796904441164768,0.11144010867036047,0.00037685060725719096,0.0,14.372807138219656,28.30142588506316,8.73216690092998,2,0.0645,10.0,20.0,0.2629,1,0.70414203,0.0,0.0,0.0,0.704,0.0,0.0,0.0,0.296,2,1.0,6.123233995736766e-17,1.0,0.850791335105896
GVC,VB,2024-03,2024,3,3,338.0,0.27,138,2130.0,1.69,69,1258,0.1097,0.0548,72,1584.0,1,1584.0,0,6,0.0,10853.0,10853.0,39.166666666666664,0.0,39.166666666666664,6,11.5,5.0,6.5,4049.67,1404.0,5453.67,1,0.1111111111111111,36,0.5138983423697507,0.14285714285714285,8.471996822395685,0.09407806254091045,0.0013189771254001684,0.0,16.623138072994482,31.150416378698953,8.688214855912877,8.504496888710063,0.09407806254091045,0.0013189771254001684,0.0,16.623138072994482,31.150416378698953,8.720714946775065,2,0.0645,10.0,20.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.001592559041455388
GDG,WD,2024-03,2024,3,13,1536.0,0.68,695,7441.0,3.3,939,2258,0.3078,0.4159,64,2423.0,1,2423.0,0,4,5888.0,6092.0,11980.0,16.0,8.0,8.0,12,28.0,14.0,14.0,10099.0,10426.0,20525.0,1,0.14285714285714285,48,0.45511961331341866,0.1111111111111111,8.707414292631368,0.09165545143838846,0.0,0.0,15.391311349971458,28.040268412188276,8.837696876692739,8.604943718756191,0.08465679731936987,0.00047106326909918805,0.0,15.176894368345613,27.64732092707186,8.584486121605094,2,0.0645,10.0,20.0,0.2629,1,0.0,0.0,0.0,0.0008857396,0.0,0.0,0.0,0.001,0.999,2,1.0,6.123233995736766e-17,0.0,0.3508061170578003
BGN,RSD,2024-03,2024,3,13,3032.0,2.36,846,12525.0,9.75,1050,1284,0.6589,0.8178,1,1581.0,1,1581.0,0,6,4181.0,3739.0,7920.0,44.0,22.0,22.0,9,40.55,21.75,18.8,3413.2,6683.0,10096.2,0,0.0,54,0.0,0.0,8.702541539357776,0.10672947627017186,0.001695827752712758,0.0,14.057209706482945,27.19138550662096,8.63914986349853,8.705557949449942,0.10026917962575504,0.0018842529660920595,0.0,14.287327263589502,27.573189069894248,8.615517571668766,2,0.0645,10.0,20.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.9989449381828308
NDB,HVS,2024-03,2024,3,6,388.0,0.36,109,2293.0,2.13,244,1077,0.1012,0.2266,1,1087.0,1,1087.0,0,8,6105.0,6128.0,12233.0,19.0,9.5,9.5,19,28.61111111111111,14.5,14.11111111111111,10556.380000000001,9329.72,19886.1,1,0.07692307692307693,152,0.48089834696298783,0.125,8.587063719454557,0.07106325759340584,0.00037685060725719096,0.0,14.82626879391728,28.757361236202605,8.716875310861887,8.574416132826824,0.07429340578024031,0.0007537012345697806,0.0,14.69533352399418,28.427401647272532,8.697834739133134,2,0.0645,10.0,20.0,0.2629,0,0.23212628,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.768,2,1.0,6.123233995736766e-17,1.0,0.7663986682891846
PMR,ASS,2024-03,2024,3,20,27.0,0.84,19,147.0,4.59,21,32,0.5938,0.6563,0,36.0,1,36.0,0,8,2108.0,2108.0,4216.0,20.5,10.25,10.25,16,27.25,13.625,13.625,24930.0,20000.0,44930.0,1,0.09090909090909091,128,0.5581106265512472,0.16666666666666666,8.468172874136215,0.06635262560435291,9.421265181429774e-05,0.0,17.79184415587506,31.084036827087402,8.635736790832889,8.384422088535766,0.07967698619190809,9.421265181429774e-05,0.0,15.34171527760507,28.164306127206796,8.557235019845564,2,0.0645,10.0,20.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,0.0,0.07474583387374878
UTVR,UT,2024-03,2024,3,1,3205.0,0.92,1148,9004.0,2.59,1299,3474,0.3305,0.3739,3,3522.0,1,3522.0,0,6,9575.0,9417.0,18992.0,7.333333333333333,3.6666666666666665,3.6666666666666665,32,44.659919028340084,22.923076923076923,21.736842105263158,22888.0,35165.86,58053.86,0,0.0,192,0.0,0.0,8.638385551855029,0.07402422674210844,0.00018842530362859548,0.0,14.729065310425584,27.957899648119593,8.622234798536647,8.59938579565102,0.07402422674210844,0.00018842530362859548,0.0,14.729065310425584,27.957899648119593,8.583235053002113,2,0.0645,10.0,20.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,1.0,0.8693547248840332
GV,LEDN,2024-03,2024,3,16,347.0,1.03,103,1393.0,4.15,111,336,0.3065,0.3304,13,267.0,1,267.0,0,11,12423.0,9332.67,21755.67,14.533333333333335,8.333333333333334,6.2,21,38.009090909090915,19.90909090909091,18.1,14833.5,15178.0,30011.5,2,0.11764705882352941,231,1.279458146995729,0.41666666666666663,8.47849686983296,0.09407806254091045,0.0013189771254001684,0.0,16.623138072994482,31.150416378698953,8.694714923886881,8.404242873673162,0.08788694556637054,0.00018842530362859548,0.0,16.5809129193365,30.583525412496616,8.450407052906494,2,0.0645,10.0,20.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,6.123233995736766e-17,1.0,0.9766566157341003
NDB,BSMZ,2024-03,2024,3,1,2016.0,1.22,854,5433.0,3.27,916,1659,0.5148,0.5521,2,1951.0,1,1951.0,0,8,6105.0,6128.0,12233.0,19.0,9.5,9.5,4,5.0,2.5,2.5,3933.0,3923.0,7856.0,0,0.0,32,0.0,0.0,8.587063719454557,0.07106325759340584,0.00037685060725719096,0.0,14.82626879391728,28.757361236202605,8.716875310861887,8.561063860900308,0.07106325759340584,0.00037685060725719096,0.0,14.82626879391728,28.757361236202605,8.6908754647821,2,0.0645,10.0,20.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,1.0,0.8933684229850769
PMR,PMW,2024-03,2024,3,1,515.0,0.55,254,1576.0,1.68,274,937,0.2711,0.2924,0,1027.0,1,1027.0,0,8,2108.0,2108.0,4216.0,20.5,10.25,10.25,4,11.0,5.5,5.5,2042.0,2042.0,4084.0,0,0.0,32,0.0,0.0,8.468172874136215,0.06635262560435291,9.421265181429774e-05,0.0,17.79184415587506,31.084036827087402,8.635736790832889,8.494172897024399,0.06635262560435291,9.421265181429774e-05,0.0,17.79184415587506,31.084036827087402,8.661736813721072,2,0.0645,10.0,20.0,0.2629,1,0.03308431,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.967,2,1.0,6.123233995736766e-17,0.0,0.07603557407855988
