source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,LogisticRegression_TWCW_pred,LogisticRegression_TWCW_proba
CAS,AMR,2020-06,2020,6,12,203.0,1.11,61,1190.0,6.5,55,183,0.3333,0.3005,0,193,1,193.0,0,11,7053.0,6362.0,13415.0,22.166666666666664,12.166666666666666,10.0,6,12.0,6.0,6.0,4867.0,5890.0,10757.0,1,0.125,66,1.4426950408889634,0.5,16.446527768505945,0.08986111231562165,0.0,0.0,16.356692706048488,31.713999159468546,17.364305565092298,16.41095831659105,0.08652777857043677,0.0,0.0,16.475365979803932,31.882499194807476,17.385194302929772,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.7882776996804481
ASB,SHL,2020-06,2020,6,17,0.0,0.0,0,480.0,53.33,8,9,0.0,0.8889,0,16,1,16.0,0,15,8308.0,8605.0,16913.0,19.333333333333332,8.666666666666666,10.666666666666666,15,52.48214285714286,25.625,26.857142857142858,21401.0,17476.0,38877.0,2,0.13333333333333333,225,0.9751430179754935,0.25757575757575757,17.00969483918614,0.0958333347303172,0.0,0.0,14.369885161643227,28.364499188131756,17.96268096367518,16.871417080693774,0.1006944454068111,0.0,0.0,13.819435655242867,28.27049922214614,17.681000430054134,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.8442124984503456
ZBM,GDM,2020-06,2020,6,9,956.0,0.9,432,2111.0,2.0,295,1058,0.4083,0.2788,2,1169,1,1169.0,0,3,2348.0,1169.0,3517.0,20.0,11.0,9.0,6,18.0,9.0,9.0,4634.0,4634.0,9268.0,0,0.0,18,0.0,0.0,17.695305289824805,0.07736111141534316,0.0,0.0,13.210086491621203,26.620499291022618,18.51606921752294,17.599625576867,0.08833333353201549,0.0,0.0,13.69905899932815,26.84199927581681,18.45684786637624,1,0.0333,8.0,21.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.46100537957556403
ZDK,ZD,2020-06,2020,6,3,635.0,0.55,296,1660.0,1.45,174,1147,0.2581,0.1517,0,1194,1,1194.0,0,4,2387.0,2387.0,4774.0,13.0,6.5,6.5,11,25.866666666666667,12.2,13.666666666666666,10193.0,10176.33,20369.33,0,0.0,44,0.0,0.0,16.800124931997722,0.0915277785414623,0.0,0.0,14.089372212481168,27.487999286254247,17.65429153309928,16.89165271255705,0.09958333403079046,0.0,0.0,13.718987518052261,27.760499217775134,17.834847033023834,1,0.0333,8.0,21.0,0.2629,0,0.026155187,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.974,3,1.2246467991473532e-16,-1.0,0.0,0.49612301465134523
BTL,VG,2020-06,2020,6,8,486.0,0.45,173,2040.0,1.88,179,1085,0.1594,0.165,33,1196,1,1196.0,0,7,5494.0,5419.0,10913.0,20.0,11.0,9.0,4,12.0,6.0,6.0,2401.0,1465.0,3866.0,0,0.0,28,0.0,0.0,18.014652772744498,0.08083333394800624,0.0,0.0,12.761599162552091,26.877499306201933,19.150902786519794,17.910583073563046,0.07236111178580258,0.0,0.0,13.210177330176036,27.437499209245047,19.16620806720522,1,0.0333,8.0,21.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.45807878474449315
ZWD,BRD,2020-06,2020,6,7,502.0,0.28,231,2701.0,1.48,308,1820,0.1269,0.1692,15,1969,1,1969.0,0,3,4000.0,1969.0,5969.0,11.5,4.5,7.0,4,11.0,5.5,5.5,3994.0,3991.0,7985.0,0,0.0,12,0.0,0.0,17.234236131774054,0.1102777788312071,0.0,0.0,13.949774319471585,28.33949928018782,18.123402799500358,17.195236574278937,0.1102777788312071,0.0,0.0,13.949774319471585,28.33949928018782,18.08440324200524,1,0.0333,8.0,21.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.30738907761996376
WDN,RSN,2020-06,2020,6,8,296.0,0.32,120,916.0,1.01,91,911,0.1317,0.0999,0,980,1,980.0,0,4,1919.0,1162.0,3081.0,13.0,6.5,6.5,4,15.0,7.5,7.5,1918.0,1917.0,3835.0,0,0.0,16,0.0,0.0,17.791097040308845,0.11277777899263633,0.0,0.0,12.424911250836319,25.8414993395408,18.614638663662806,17.803250406185786,0.10416666757729319,0.0,0.0,12.694053698910608,27.306999288664922,18.663528245025212,1,0.0333,8.0,21.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.4244393155509984
CAS,HLO,2020-06,2020,6,7,1939.0,0.81,860,9069.0,3.77,482,2406,0.3574,0.2003,1,2649,1,2649.0,0,11,7053.0,6362.0,13415.0,22.166666666666664,12.166666666666666,10.0,4,12.0,6.0,6.0,5270.0,4808.0,10078.0,1,0.14285714285714285,44,0.9102392266268373,0.3333333333333333,16.446527768505945,0.08986111231562165,0.0,0.0,16.356692706048488,31.713999159468546,17.364305565092298,16.39795877933502,0.08652777857043677,0.0,0.0,16.475365979803932,31.882499194807476,17.372195012039608,1,0.0333,8.0,21.0,0.2629,0,0.50540316,0.0,0.0,0.0004156276,0.505,0.0,0.0,0.0,0.495,3,1.2246467991473532e-16,-1.0,0.0,0.4240198419607603
CAS,UTG,2020-06,2020,6,4,547.0,0.47,361,1345.0,1.16,108,1162,0.3107,0.0929,3,1373,1,1373.0,0,11,7053.0,6362.0,13415.0,22.166666666666664,12.166666666666666,10.0,6,8.0,4.0,4.0,2756.0,4489.0,7245.0,0,0.0,66,0.0,0.0,16.446527768505945,0.08986111231562165,0.0,0.0,16.356692706048488,31.713999159468546,17.364305565092298,16.446527768505945,0.08986111231562165,0.0,0.0,16.356692706048488,31.713999159468546,17.364305565092298,1,0.0333,8.0,21.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.6696199033036764
KLP,UT,2020-06,2020,6,34,315.0,0.37,124,3241.0,3.77,214,859,0.1444,0.2491,1,952,3,317.33,0,6,2776.67,2741.33,5518.0,42.0,21.0,21.0,29,51.061904761904756,26.928571428571427,24.133333333333333,24278.29,31473.67,55751.96,1,0.05263157894736842,174,0.6213349345596119,0.2,17.667347255018022,0.11333333426672551,0.0,0.0,13.047836453177863,27.52249924805429,18.574500015046862,17.258666869004568,0.12152777840900753,0.0,0.0,13.07000328062309,27.369499347607295,17.901236334111957,1,0.0333,8.0,21.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.7630499031893984
ASB,MAS,2020-06,2020,6,22,0.0,0.0,0,120.0,30.0,4,4,0.0,1.0,0,0,12,0.0,1,15,8308.0,8605.0,16913.0,19.333333333333332,8.666666666666666,10.666666666666666,7,20.166666666666668,14.5,5.666666666666667,3351.0,2425.08,5776.08,2,0.16666666666666666,105,0.8668544662345119,0.20168067226890757,17.00969483918614,0.0958333347303172,0.0,0.0,14.369885161643227,28.364499188131756,17.96268096367518,17.127791318628525,0.11597222192212939,0.0,0.0,13.670480701410108,27.365999282068678,17.805291253990596,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.6938620318439462
ASB,ASDZ,2020-06,2020,6,6,773.0,0.4,214,5819.0,3.01,547,1936,0.1105,0.2825,12,2036,1,2036.0,0,15,8308.0,8605.0,16913.0,19.333333333333332,8.666666666666666,10.666666666666666,12,26.333333333333332,13.166666666666666,13.166666666666666,15012.0,12046.0,27058.0,3,0.25,180,1.872035920552813,0.5833333333333333,17.00969483918614,0.0958333347303172,0.0,0.0,14.369885161643227,28.364499188131756,17.96268096367518,16.858416595723895,0.1006944454068111,0.0,0.0,13.819435655242867,28.27049922214614,17.667999941772884,1,0.0333,8.0,21.0,0.2629,1,0.99948347,0.0,0.0,0.0005165289,0.999,0.0,0.0,0.001,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.6063189095138486
WV,SWK,2020-06,2020,6,13,916.0,1.01,606,943.0,1.04,154,907,0.6681,0.1698,1,1100,1,1100.0,0,4,2197.0,2198.0,4395.0,24.0,12.0,12.0,7,40.25,23.25,17.0,4285.0,3316.0,7601.0,1,0.2,28,0.7213475204444817,0.25,17.164819196859995,0.0906944456199805,0.0,0.0,13.861222038583623,27.339999208185407,18.22801366382175,17.25824987557199,0.10902777833657132,0.0,0.0,13.594114501112037,27.037499258915584,18.133319246768952,1,0.0333,8.0,21.0,0.2629,0,0.1014333,0.0,0.0,0.0011025359,0.101,0.0,0.0,0.001,0.898,3,1.2246467991473532e-16,-1.0,0.0,0.3357276965862603
DR,AH,2020-06,2020,6,16,824.0,0.76,389,6227.0,5.71,352,1091,0.3566,0.3226,0,1097,1,1097.0,0,8,4354.0,4291.0,8645.0,20.5,10.25,10.25,15,35.32142857142857,18.571428571428573,16.75,8816.0,8844.0,17660.0,0,0.0,120,0.0,0.0,17.771236465374628,0.1037500005422367,0.0,0.0,12.587527471284071,26.206499271591504,18.485264372825622,17.58190320995119,0.10652777886845999,0.0,0.0,12.647255641718706,26.7924992316299,18.125236536396873,1,0.0333,8.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.5459009754716555
RS,OW,2020-06,2020,6,11,445.0,0.37,120,4958.0,4.14,249,1198,0.1002,0.2078,0,1228,1,1228.0,0,4,2479.0,2479.0,4958.0,17.0,8.5,8.5,4,12.0,6.0,6.0,2479.0,2354.0,4833.0,0,0.0,16,0.0,0.0,17.807388689782883,0.06652777830345763,0.0,0.0,12.988159135232369,27.196999266412522,18.499610896905264,17.769208576944138,0.07111111170508795,0.0,0.0,12.89003403186798,26.238999315434032,18.47448636425866,1,0.0333,8.0,21.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.4430673988887228
AC,BKL,2020-06,2020,6,12,794.0,0.44,279,6335.0,3.52,376,1802,0.1548,0.2087,16,1903,1,1903.0,0,4,3751.0,3751.0,7502.0,16.0,8.0,8.0,6,24.0,12.0,12.0,3807.0,4732.0,8539.0,0,0.0,24,0.0,0.0,17.056930454572043,0.09791666741172472,0.0,0.0,14.133247650249137,27.652499296267827,17.84936095078786,17.12594495481915,0.10097222303350767,0.0,0.0,14.029859050777223,28.11899926463763,18.07316729757521,1,0.0333,8.0,21.0,0.2629,0,0.0,0.0,0.0,0.000554939,0.0,0.0,0.0,0.001,0.999,3,1.2246467991473532e-16,-1.0,0.0,0.3060385312358065
LLZM,ZTMO,2020-06,2020,6,2,444.0,0.3,187,17988.0,12.14,457,1482,0.1262,0.3084,1,1840,1,1840.0,0,4,3663.0,3661.0,7324.0,15.0,7.5,7.5,4,3.0,1.5,1.5,3661.0,3661.0,7322.0,0,0.0,16,0.0,0.0,16.91200029850006,0.1102777782206734,0.0,0.0,14.095116514712572,28.397499151031177,17.805055986510382,16.892499991257985,0.1102777782206734,0.0,0.0,14.095116514712572,28.397499151031177,17.785555549462636,1,0.0333,8.0,21.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.3438963441362133
NVP,SSH,2020-06,2020,6,11,1084.0,0.57,377,2908.0,1.52,393,1910,0.1974,0.2058,0,2224,1,2224.0,0,4,4337.0,4335.0,8672.0,16.0,8.0,8.0,4,19.0,9.5,9.5,4337.0,3433.0,7770.0,0,0.0,16,0.0,0.0,16.869069656398562,0.10861111189135247,0.0,0.0,14.154831581976678,29.13849920100636,17.55719468858507,16.78081936703788,0.1108333331429296,0.0,0.0,15.282887632110052,30.99099914762709,17.918805383311376,1,0.0333,8.0,21.0,0.2629,0,0.0010471204,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,3,1.2246467991473532e-16,-1.0,0.0,0.31628908442886794
