source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,RandomForestClassifier_OPS_pred,RandomForestClassifier_OPS_proba
GD,GDG,2019-05,2019,5,3,658.0,0.29,238,7078.0,3.11,353,2273,0.1047,0.1553,28,2268,1,2268.0,0,12,14672.0,9882.0,24554.0,33.16666666666667,16.5,16.666666666666668,4,16.0,8.0,8.0,4571.0,5597.0,10168.0,0.0,0.0,48.0,0.0,0.0,11.511798664126346,42.60000055283308,0.0,0.0,13.834475989543623,61.920002,12.713344320174187,11.540486315886179,37.00000061839819,0.0,0.0,13.682846439301327,57.6,12.648281976740847,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.0
HN,ASS,2019-05,2019,5,39,174.0,0.14,84,4461.0,3.64,153,1227,0.0685,0.1247,31,1224,1,1224.0,0,8,4698.0,4631.75,9329.75,39.733333333333334,19.333333333333332,20.4,12,24.666666666666668,12.333333333333334,12.333333333333334,25537.0,18573.0,44110.0,1.0,0.1,96.0,0.6213349345596119,0.2,11.141473197488375,26.900000162422657,0.0,0.0,14.687818118721568,60.120003,12.387911417791921,11.219091455141703,28.900000423192978,0.0,0.0,13.535810962800056,59.039997,12.609481185354213,1,0.0323,8.0,22.0,0.263,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.35
EHS,EHV,2019-05,2019,5,1,798.0,0.87,282,3470.0,3.79,327,916,0.3079,0.357,8,934,1,934.0,0,4,4460.0,3146.0,7606.0,10.0,5.0,5.0,13,38.30952380952381,20.166666666666668,18.142857142857142,7332.0,11070.0,18402.0,0.0,0.0,52.0,0.0,0.0,11.913929951767768,51.20000043511391,0.07000000029802322,0.0,11.636853447043768,53.639996,12.945784755932387,11.97893030829327,51.20000043511391,0.07000000029802322,0.0,11.636853447043768,53.639996,13.010785200903493,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.17426927865096611
HTN,HTNC,2019-05,2019,5,1,1289.0,0.56,541,7594.0,3.3,552,2300,0.2352,0.24,10,2301,1,2301.0,0,4,4992.0,4795.0,9787.0,5.0,2.5,2.5,4,10.0,5.0,5.0,4597.0,4798.0,9395.0,0.0,0.0,16.0,0.0,0.0,11.570064749768985,45.500000327825546,0.0,0.0,13.001143042438773,56.16,12.592712626021395,11.590819863862889,44.60000028461218,0.0,0.0,13.172279894832641,54.36,12.563534887888098,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.3
HZE,MZ,2019-05,2019,5,10,592.0,0.65,276,2675.0,2.93,243,913,0.3023,0.2662,0,948,1,948.0,0,4,1905.0,1905.0,3810.0,15.0,7.5,7.5,3,18.5,8.5,10.0,1905.0,957.0,2862.0,0.0,0.0,12.0,0.0,0.0,11.861086234931022,52.40000054240227,0.07000000029802322,0.0,11.530517607927322,54.719997,12.784742146409968,11.866782393827233,54.20000035315752,0.0,0.0,11.455631642892797,52.92,12.826997503157585,1,0.0323,8.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.14
VTN,UTT,2019-05,2019,5,2,331.0,0.19,170,5795.0,3.28,258,1768,0.0962,0.1459,0,1766,1,1766.0,0,4,3561.0,2945.0,6506.0,11.0,5.5,5.5,4,4.0,2.0,2.0,3561.0,3561.0,7122.0,0.0,0.0,16.0,0.0,0.0,11.486355033933476,38.700000546872616,0.0,0.0,13.57867119757719,58.679996,12.586422226121348,11.505854944388071,38.700000546872616,0.0,0.0,13.57867119757719,58.679996,12.60592217791465,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.19106518983274223
ZTM,YPB,2019-05,2019,5,5,765.0,0.42,383,6159.0,3.38,391,1821,0.2103,0.2147,0,1819,1,1819.0,0,4,3615.0,3615.0,7230.0,6.0,3.0,3.0,4,9.0,4.5,4.5,3615.0,3616.0,7231.0,0.0,0.0,16.0,0.0,0.0,11.38046222412458,41.200000405311584,0.0,0.0,14.029498396140914,61.920002,12.710905732647065,11.367462483144575,41.200000405311584,0.0,0.0,14.029498396140914,61.920002,12.697905996153432,1,0.0323,8.0,22.0,0.263,0,0.0005491488,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.49999999999999994,-0.8660254037844387,0.0,0.08
O,NM,2019-05,2019,5,24,830.0,0.77,335,3693.0,3.42,309,1079,0.3105,0.2864,2,1092,1,1092.0,0,10,4266.0,4438.0,8704.0,28.4,14.2,14.2,11,20.4,10.4,10.0,5293.0,7937.0,13230.0,1.0,0.1,110.0,0.7213475204444817,0.25,11.844575115429457,48.400000385940075,0.0,0.0,12.784075094487077,56.88,12.87696753137855,11.836913821197324,49.50000040233135,0.0,0.0,12.069971839266438,54.719997,12.637518609082827,1,0.0323,8.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.49999999999999994,-0.8660254037844387,0.0,0.03
NMD,NMGO,2019-05,2019,5,2,766.0,0.42,401,5630.0,3.12,290,1806,0.222,0.1606,0,1813,1,1813.0,0,8,3660.0,2861.0,6521.0,15.0,7.5,7.5,4,5.0,2.5,2.5,3660.0,3395.0,7055.0,1.0,0.2,32.0,0.5581106265512472,0.16666666666666666,11.831556653784167,54.80000051110983,0.21000000834465027,0.0,12.339971449426425,60.839996,12.612269099040699,11.79905665369444,54.80000051110983,0.21000000834465027,0.0,12.339971449426425,60.839996,12.579769030053129,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,1.0,0.7
ST,STZ,2019-05,2019,5,1,68.0,0.06,29,2814.0,2.44,72,1152,0.0252,0.0625,2,1150,1,1150.0,0,4,2269.0,2269.0,4538.0,2.0,1.0,1.0,4,7.0,3.5,3.5,2269.0,2269.0,4538.0,0.0,0.0,16.0,0.0,0.0,11.545935298486423,51.90000033378601,0.0,0.0,12.919575880131413,56.16,12.624228274309507,11.591435695848157,51.90000033378601,0.0,0.0,12.919575880131413,56.16,12.669728712369038,1,0.0323,8.0,22.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,1.0,0.5417348430780923
