source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,XGBClassifier_TW_pred,XGBClassifier_TW_proba
ASD,HVS,2024-04,2024,4,29,892.0,1.0,284,1170.0,1.31,28,893,893.0,0.0,28.0,0.318,0.0314,109,1095,1,1095.0,0,17,13058.0,21288.260000000002,34346.26,38.67142857142858,18.571428571428573,20.1,14,21.916666666666664,12.75,9.166666666666666,10664.0,9100.0,19764.0,2,0.125,238,1.256215482888031,0.38888888888888884,10.011930575770222,104.9000009521842,2.309999942779541,0.0,18.18952933119403,73.799995,10.434777748915884,10.386028000008729,91.10000057518482,1.9599999710917473,0.0,17.498472766743767,75.6,10.688805832134353,2,0.0667,8.0,21.0,0.2629,0,0,0.2338,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.8970502018928528
ASD,ASDM,2024-04,2024,4,4,2943.0,1.04,1104,8173.0,2.88,735,2838,2838.0,538.0,197.0,0.389,0.259,499,3976,1,3976.0,0,17,13058.0,21288.260000000002,34346.26,38.67142857142858,18.571428571428573,20.1,8,5.0,2.5,2.5,8202.33,7614.33,15816.66,1,0.07692307692307693,136,0.6213349345596119,0.2,10.011930575770222,104.9000009521842,2.309999942779541,0.0,18.18952933119403,73.799995,10.434777748915884,10.230375296622515,97.8000003695488,0.6300000175833702,0.0,18.769380096263355,75.6,10.63481977350182,2,0.0667,8.0,21.0,0.2629,0,1,0.2338,1,0.0003523608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.7841033339500427
ASD,SHL,2024-04,2024,4,19,1072.0,0.68,401,7931.0,5.03,181,1577,1577.0,24.0,157.0,0.2543,0.1148,188,1908,1,1908.0,0,17,13058.0,21288.260000000002,34346.26,38.67142857142858,18.571428571428573,20.1,15,44.44642857142857,21.875,22.571428571428573,18789.0,15894.0,34683.0,3,0.2,255,1.3960911758292274,0.35,10.011930575770222,104.9000009521842,2.309999942779541,0.0,18.18952933119403,73.799995,10.434777748915884,10.157319744790179,99.00000059604645,1.6099999696016312,0.0,18.341985719733767,77.03999,10.552875314818488,2,0.0667,8.0,21.0,0.2629,0,0,0.2338,0,0.06785035,0.93214965,0.0,0.0,0.068,0.932,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.9831870794296265
CL,GDM,2024-04,2024,4,8,5564.0,1.28,2256,12806.0,2.95,2423,4338,4338.0,2181.0,242.0,0.5201,0.5586,10,4515,1,4515.0,0,4,6854.0,6854.0,13708.0,17.0,8.5,8.5,7,22.25,9.0,13.25,6854.0,6866.0,13720.0,0,0.0,28,0.0,0.0,10.535972190234396,99.8000006377697,0.9800000190734863,0.0,17.08468738661872,84.6,10.634305450320245,10.542472301175197,99.8000006377697,0.9800000190734863,0.0,17.08468738661872,84.6,10.640805588497056,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.9635483026504517
HOR,HVSP,2024-04,2024,4,5,755.0,0.62,427,2498.0,2.04,462,1227,1227.0,409.0,53.0,0.348,0.3765,0,1289,1,1289.0,0,4,2569.0,2569.0,5138.0,14.0,7.0,7.0,7,15.916666666666668,9.25,6.666666666666667,4748.0,3678.0,8426.0,1,0.2,28,0.6213349345596119,0.2,10.379527889399064,91.10000057518482,1.9599999710917473,0.0,17.498472766743767,75.6,10.682305699918006,10.392527666315436,91.10000057518482,1.9599999710917473,0.0,17.498472766743767,75.6,10.695305419299338,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.5253512859344482
DVNK,VST,2024-04,2024,4,2,1416.0,0.69,470,5626.0,2.76,575,2038,2038.0,450.0,125.0,0.2306,0.2821,56,2432,1,2432.0,0,4,4838.0,4828.0,9666.0,5.0,2.5,2.5,4,8.0,4.0,4.0,4838.0,4838.0,9676.0,0,0.0,16,0.0,0.0,10.251722450409499,106.60000079125166,1.5399999991059303,0.0,19.46490854124228,77.03999,10.54783365295993,10.251722450409499,106.60000079125166,1.5399999991059303,0.0,19.46490854124228,77.03999,10.54783365295993,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.00049067714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.9876680970191956
HR,WV,2024-04,2024,4,11,595.0,0.64,262,1627.0,1.75,284,931,931.0,252.0,32.0,0.2814,0.305,4,1040,1,1040.0,0,7,4238.0,3060.0,7298.0,34.083333333333336,18.75,15.333333333333334,4,24.0,12.0,12.0,2040.0,1999.0,4039.0,1,0.2,28,0.9102392266268373,0.3333333333333333,9.899680462872816,110.60000064224005,2.8000000566244125,0.0,18.770434874792894,75.6,10.142388786044386,9.913430455430515,104.00000091642141,1.6800000071525574,0.0,18.430642108701996,73.079994,10.060791539814737,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.075187966,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.925,2,0.8660254037844387,-0.4999999999999998,1.0,0.7332510352134705
NML,EST,2024-04,2024,4,7,1370.0,0.8,488,12004.0,7.04,769,1705,1705.0,454.0,315.0,0.2862,0.451,0,1691,1,1691.0,0,4,3376.0,2913.0,6289.0,8.0,4.0,4.0,7,14.25,7.25,7.0,3476.0,3396.0,6872.0,1,0.2,28,0.6213349345596119,0.2,10.711736123098268,104.0000003054738,1.8899999409914017,0.0,15.87786608884732,82.079994,10.826180656088724,10.668902606268723,101.70000069588423,1.819999985396862,0.0,16.19185502462917,78.12,10.776610915859541,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.03753666,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.962,2,0.8660254037844387,-0.4999999999999998,1.0,0.7411498427391052
CL,HTNC,2024-04,2024,4,9,2480.0,1.13,921,6236.0,2.84,1002,2192,2192.0,866.0,136.0,0.4202,0.4571,1,2339,1,2339.0,0,4,6854.0,6854.0,13708.0,17.0,8.5,8.5,4,10.0,5.0,5.0,6854.0,6854.0,13708.0,0,0.0,16,0.0,0.0,10.535972190234396,99.8000006377697,0.9800000190734863,0.0,17.08468738661872,84.6,10.634305450320245,10.445277744779984,96.60000078380108,0.9100000336766243,0.0,17.244342131084867,75.6,10.61215267115169,2,0.0667,8.0,21.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.00045620438,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.996616780757904
HLM,HAD,2024-04,2024,4,4,2246.0,0.67,835,7712.0,2.31,614,3344,3344.0,423.0,191.0,0.2497,0.1836,173,3240,1,3240.0,0,10,9384.0,10817.0,20201.0,10.0,5.0,5.0,6,24.0,12.0,12.0,6735.0,5630.0,12365.0,0,0.0,60,0.0,0.0,10.030333521796598,106.40000054985285,1.3299999758601189,0.0,21.33494813574685,82.799995,10.336166846752167,10.14901413751973,100.90000054240227,0.3500000089406967,0.0,20.412443079219923,78.479996,10.406305855843756,2,0.0667,8.0,21.0,0.2629,0,0,0.2338,0,0.6130383,0.0,0.0,0.0,0.613,0.0,0.0,0.0,0.387,2,0.8660254037844387,-0.4999999999999998,0.0,0.17720402777194977
