source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,XGBClassifier_WTH_pred,XGBClassifier_WTH_proba
HM,DN,2021-06,2021,6,9,870.0,0.8,357,4001.0,3.66,345,1092,0.3269,0.3159,3,1185,1,1185.0,0,8,4314.0,4153.0,8467.0,12.0,6.0,6.0,6,23.333333333333332,11.666666666666666,11.666666666666666,2365.0,3333.0,5698.0,1,0.16666666666666666,48,1.4426950408889634,0.5,19.201041220294105,100.60000049322844,0.0,0.0,10.604969309353166,51.12,20.262638431125218,19.272943756315442,97.30000022053719,0.0,0.0,10.36880509969261,52.92,20.031901990042794,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.9529529809951782
WP,HVS,2021-06,2021,6,15,0.0,0.0,0,150.0,30.0,5,5,0.0,1.0,0,70,3,23.33,0,10,9170.67,9309.33,18480.0,19.2,9.0,10.2,14,21.541666666666664,12.375,9.166666666666666,11243.33,9393.0,20636.33,2,0.16666666666666666,140,1.1764671337579005,0.3611111111111111,17.553069067001342,80.90000057220459,0.0,0.0,11.890504048930275,50.399998,18.60758283668094,17.85977760685815,75.20000047236681,0.0,0.0,10.8066362309787,57.239998,18.563944176832834,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.006587116047739983
HM,HMBH,2021-06,2021,6,1,1091.0,1.16,547,1941.0,2.07,377,938,0.5832,0.4019,10,981,1,981.0,0,8,4314.0,4153.0,8467.0,12.0,6.0,6.0,4,9.0,4.5,4.5,1983.0,1036.0,3019.0,1,0.2,32,0.9102392266268373,0.3333333333333333,19.201041220294105,100.60000049322844,0.0,0.0,10.604969309353166,51.12,20.262638431125218,19.188042125436994,100.60000049322844,0.0,0.0,10.604969309353166,51.12,20.249639455477396,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.0063965884,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.994,3,1.2246467991473532e-16,-1.0,1.0,0.990475594997406
WP,DMN,2021-06,2021,6,7,806.0,0.38,222,2316.0,1.1,334,2096,0.1059,0.1594,14,2479,1,2479.0,0,10,9170.67,9309.33,18480.0,19.2,9.0,10.2,4,9.0,4.5,4.5,4940.0,4854.0,9794.0,0,0.0,40,0.0,0.0,17.553069067001342,80.90000057220459,0.0,0.0,11.890504048930275,50.399998,18.60758283668094,17.559569311141967,80.90000057220459,0.0,0.0,11.890504048930275,50.399998,18.614083080821565,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.05246812105178833
HMBH,HM,2021-06,2021,6,1,556.0,0.58,237,1910.0,1.98,194,963,0.2461,0.2015,0,1002,1,1002.0,0,4,1983.0,1036.0,3019.0,9.0,4.5,4.5,8,12.0,6.0,6.0,4314.0,4153.0,8467.0,1,0.2,32,0.9102392266268373,0.3333333333333333,19.188042125436994,100.60000049322844,0.0,0.0,10.604969309353166,51.12,20.249639455477396,19.201041220294105,100.60000049322844,0.0,0.0,10.604969309353166,51.12,20.262638431125218,0,0.0,8.0,22.0,0.2629,0,1,0.24465,0,0.0062305294,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.994,3,1.2246467991473532e-16,-1.0,1.0,0.9944400787353516
KPNZ,ZL,2021-06,2021,6,15,24.0,0.5,18,40.0,0.83,5,48,0.375,0.1042,0,50,1,50.0,0,4,2323.0,1225.0,3548.0,32.0,16.0,16.0,16,86.95238095238095,47.285714285714285,39.666666666666664,4635.0,9380.0,14015.0,0,0.0,64,0.0,0.0,17.612500329812367,76.69999963790178,0.0,0.0,10.688059614847104,50.76,18.156528193420833,17.829652775658502,83.90000058710575,0.0,0.0,11.076790640254815,50.76,18.260069433848063,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.2178332805633545
ASA,DVD,2021-06,2021,6,2,972.0,0.54,351,5784.0,3.19,579,1814,0.1935,0.3192,2,1829,1,1829.0,0,10,10754.0,10641.0,21395.0,18.8,9.4,9.4,16,20.5,11.625,8.875,12140.0,11984.67,24124.67,2,0.16666666666666666,160,0.8928215240597019,0.21428571428571427,17.53356988032659,80.90000057220459,0.0,0.0,11.890504048930275,50.399998,18.588083778487313,17.494569951958127,80.90000057220459,0.0,0.0,11.890504048930275,50.399998,18.549083982573617,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.6849242448806763
ASN,ZL,2021-06,2021,6,78,1255.0,1.27,879,1482.0,1.5,145,985,0.8924,0.1472,1,1029,1,1029.0,0,9,4607.0,3611.0,8218.0,71.3,34.8,36.5,16,86.95238095238095,47.285714285714285,39.666666666666664,4635.0,9380.0,14015.0,1,0.07142857142857142,144,0.7213475204444817,0.25,17.43111112912496,112.79999998956919,0.0,0.0,10.819460947646036,52.56,18.250069402323827,17.829652775658502,83.90000058710575,0.0,0.0,11.076790640254815,50.76,18.260069433848063,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.0986773744225502
GVMW,GV,2021-06,2021,6,1,1496.0,0.8,771,3670.0,1.97,705,1862,0.4141,0.3786,5,2014,1,2014.0,0,4,3997.0,3996.0,7993.0,3.0,1.5,1.5,12,25.34285714285714,14.142857142857142,11.2,11147.0,8170.0,19317.0,0,0.0,48,0.0,0.0,17.04208334551917,99.50000011175871,0.0,0.0,12.694013457496961,55.8,17.993958348698087,17.003083788024053,99.50000011175871,0.0,0.0,12.694013457496961,55.8,17.95495879120297,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.7116822004318237
BRD,RLB,2021-06,2021,6,4,471.0,0.25,216,2805.0,1.51,267,1855,0.1164,0.1439,23,1960,1,1960.0,0,4,3962.0,3962.0,7924.0,11.0,5.5,5.5,4,7.0,3.5,3.5,3962.0,3962.0,7924.0,0,0.0,16,0.0,0.0,17.828917109966277,95.00000064074993,0.0,0.0,11.295531068162786,55.44,18.573222623931038,17.87441691160202,95.00000064074993,0.0,0.0,11.295531068162786,55.44,18.61872242556678,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.004782735835760832
SD,ST,2021-06,2021,6,1,754.0,0.68,663,797.0,0.71,45,1117,0.5936,0.0403,0,1154,1,1154.0,0,3,2278.0,1154.0,3432.0,3.5,2.5,1.0,4,2.0,1.0,1.0,2278.0,2278.0,4556.0,0,0.0,12,0.0,0.0,17.868832896815405,72.40000026673079,0.0,0.0,10.539294784764449,49.68,18.5566800793012,17.829833009507922,72.40000026673079,0.0,0.0,10.539294784764449,49.68,18.51768026749293,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.009471351280808449
NKK,PT,2021-06,2021,6,7,332.0,0.31,124,822.0,0.77,152,1066,0.1163,0.1426,0,1126,1,1126.0,0,6,2391.0,2308.0,4699.0,17.0,7.666666666666667,9.333333333333334,4,12.0,6.0,6.0,2273.0,2273.0,4546.0,0,0.0,24,0.0,0.0,17.97287474936909,70.70000069588423,0.0,0.0,10.785278351770508,50.039997,18.67419416507085,18.086860820982192,82.79999991506338,0.0,0.0,11.033799475431442,50.399998,18.88811071448856,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.9126116037368774
BD,RTD,2021-06,2021,6,50,1309.0,0.63,355,6927.0,3.32,431,2089,0.1699,0.2063,184,2679,1,2679.0,0,11,8068.0,8819.0,16887.0,40.56666666666666,21.166666666666668,19.4,14,48.86666666666667,27.2,21.666666666666668,13548.0,18004.0,31552.0,1,0.07142857142857142,154,0.45511961331341866,0.1111111111111111,18.326902117994095,105.00000096857548,0.0,0.0,10.807653755611843,56.88,19.092318766646915,17.553194740083484,106.69999954849482,0.0,0.0,11.108582014300756,55.8,18.504375445842744,0,0.0,8.0,22.0,0.2629,0,1,0.24465,0,0.5107707,0.4892293,0.0,0.0,0.511,0.489,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.8742422461509705
AMF,DLD,2021-06,2021,6,9,594.0,0.53,206,968.0,0.86,149,1121,0.1838,0.1329,55,1222,1,1222.0,0,15,12196.0,12552.0,24748.0,46.10714285714286,23.857142857142858,22.25,6,12.0,6.0,6.0,4606.0,4591.0,9197.0,0,0.0,90,0.0,0.0,18.041277159584894,67.50000072270632,0.0,0.0,10.76322052768535,51.839996,18.97134650150935,18.002277603414324,67.50000072270632,0.0,0.0,10.76322052768535,51.839996,18.93234694533878,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.004557582084089518
AMF,HVS,2021-06,2021,6,16,617.0,0.35,236,4989.0,2.82,255,1767,0.1336,0.1443,42,2226,1,2226.0,0,15,12196.0,12552.0,24748.0,46.10714285714286,23.857142857142858,22.25,14,21.541666666666664,12.375,9.166666666666666,11243.33,9393.0,20636.33,1,0.06666666666666667,210,0.9102392266268373,0.3333333333333333,18.041277159584894,67.50000072270632,0.0,0.0,10.76322052768535,51.839996,18.97134650150935,17.85977760685815,75.20000047236681,0.0,0.0,10.8066362309787,57.239998,18.563944176832834,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.99943405,0.0,0.0,0.00056593097,0.999,0.0,0.0,0.001,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.04605313017964363
AMF,NKK,2021-06,2021,6,11,10.0,0.34,5,13.0,0.45,5,29,0.1724,0.1724,1,118,1,118.0,0,15,12196.0,12552.0,24748.0,46.10714285714286,23.857142857142858,22.25,6,17.0,7.666666666666667,9.333333333333334,2391.0,2308.0,4699.0,0,0.0,90,0.0,0.0,18.041277159584894,67.50000072270632,0.0,0.0,10.76322052768535,51.839996,18.97134650150935,17.97287474936909,70.70000069588423,0.0,0.0,10.785278351770508,50.039997,18.67419416507085,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.03080425225198269
APN,LDL,2021-06,2021,6,14,476.0,0.41,171,1261.0,1.1,161,1147,0.1491,0.1404,33,1588,1,1588.0,0,4,2360.0,2768.0,5128.0,22.0,11.0,11.0,3,21.5,7.5,14.0,3176.0,1180.0,4356.0,0,0.0,12,0.0,0.0,17.462902637322745,96.7000005170703,0.0,0.0,11.142129795418846,51.12,18.192277569240993,17.226194110181595,105.10000061243773,0.0,0.0,11.855503224664265,52.56,18.094180081950295,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.0018307798309251666
ALMP,ALM,2021-06,2021,6,2,912.0,0.39,505,1851.0,0.8,240,2320,0.2177,0.1034,1,2411,1,2411.0,0,4,4721.0,4720.0,9441.0,6.0,3.0,3.0,12,29.0,14.5,14.5,8860.0,9839.0,18699.0,1,0.14285714285714285,48,0.7213475204444817,0.25,17.774166651566823,85.30000029504299,0.0,0.0,12.937671249111494,56.16,18.736527775393593,17.548152526219685,82.50000072270632,0.0,0.0,12.706190027130974,53.28,18.792110872268676,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.0022522672079503536
EHS,BET,2021-06,2021,6,9,1349.0,0.45,667,3963.0,1.32,298,3011,0.2215,0.099,57,3170,1,3170.0,0,4,5438.0,5056.0,10494.0,10.0,5.0,5.0,4,19.0,9.5,9.5,5438.0,5438.0,10876.0,0,0.0,16,0.0,0.0,19.07599974738227,112.89999974519014,0.0,0.0,10.1850332028336,55.079998,19.864402553770276,18.885944673750135,116.00000017136335,0.0,0.0,10.548230399770869,52.199997,19.632472463448842,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.008527950383722782
GD,GV,2021-06,2021,6,29,21.0,1.31,4,70.0,4.38,3,16,0.25,0.1875,0,30,1,30.0,0,16,15101.0,10711.0,25812.0,38.22222222222222,19.22222222222222,19.0,12,25.34285714285714,14.142857142857142,11.2,11147.0,8170.0,19317.0,2,0.13333333333333333,192,0.9605402309330919,0.25,17.665055421988168,94.29999930411577,0.0,0.0,11.388044858972231,52.92,18.491652541690403,17.003083788024053,99.50000011175871,0.0,0.0,12.694013457496961,55.8,17.95495879120297,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.8767656683921814
APDO,TWL,2021-06,2021,6,7,404.0,0.46,137,1621.0,1.85,147,876,0.1564,0.1678,0,922,1,922.0,0,3,1834.0,922.0,2756.0,12.0,5.0,7.0,4,12.0,6.0,6.0,1834.0,1792.0,3626.0,0,0.0,12,0.0,0.0,18.369416969352297,114.1000002771616,0.0,0.0,10.87140562451548,52.92,19.41705595784717,18.30448672241635,129.80000007897615,0.0,0.0,10.471668074114454,49.32,18.74629239903556,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0011415525,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,3,1.2246467991473532e-16,-1.0,0.0,0.026904039084911346
ST,SD,2021-06,2021,6,1,311.0,0.29,134,1314.0,1.21,370,1086,0.1234,0.3407,2,1124,1,1124.0,0,4,2278.0,2278.0,4556.0,2.0,1.0,1.0,3,3.5,2.5,1.0,2278.0,1154.0,3432.0,0,0.0,12,0.0,0.0,17.829833009507922,72.40000026673079,0.0,0.0,10.539294784764449,49.68,18.51768026749293,17.868832896815405,72.40000026673079,0.0,0.0,10.539294784764449,49.68,18.5566800793012,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.013094117864966393
VTN,WD,2021-06,2021,6,9,461.0,0.4,150,2375.0,2.04,261,1167,0.1285,0.2237,0,1203,1,1203.0,0,4,3693.0,3037.0,6730.0,11.0,5.5,5.5,9,26.6,13.6,13.0,7055.0,6541.0,13596.0,0,0.0,36,0.0,0.0,17.760125186708237,81.20000053197145,0.0,0.0,11.165076576752796,59.76,18.480541825294495,17.793153206507366,78.80000027269125,0.0,0.0,11.044611579966213,62.279995,18.32280603779687,0,0.0,8.0,22.0,0.2629,0,1,0.24465,0,0.000856898,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,3,1.2246467991473532e-16,-1.0,0.0,0.014814205467700958
HTNC,HTN,2021-06,2021,6,1,1406.0,0.63,864,3300.0,1.47,396,2247,0.3845,0.1762,0,2517,1,2517.0,0,5,4669.0,4855.0,9524.0,21.333333333333332,5.0,16.333333333333332,4,5.0,2.5,2.5,5033.0,4855.0,9888.0,0,0.0,20,0.0,0.0,17.94909759958585,68.30000027269125,0.0,0.0,11.12529385437568,50.399998,18.450764351420933,17.913180392318303,74.20000015944242,0.0,0.0,10.91965990646018,50.039997,18.43206920623779,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.5636837482452393
HZE,MZ,2021-06,2021,6,10,580.0,0.34,216,1633.0,0.95,210,1728,0.125,0.1215,0,1889,1,1889.0,0,4,2864.0,2864.0,5728.0,15.0,7.5,7.5,3,18.5,8.5,10.0,2865.0,975.0,3840.0,0,0.0,12,0.0,0.0,19.095333503352272,110.29999984800816,0.0,0.0,10.073607301132547,56.16,19.828458534346687,19.249625251028274,96.89999987185001,0.0,0.0,10.05211747603284,53.639996,20.093166922198403,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.11970029026269913
HTN,UTLN,2021-06,2021,6,4,1052.0,0.47,605,3570.0,1.59,597,2247,0.2692,0.2657,4,2517,1,2517.0,0,4,5033.0,4855.0,9888.0,5.0,2.5,2.5,4,7.0,3.5,3.5,5033.0,5033.0,10066.0,0,0.0,16,0.0,0.0,17.913180392318303,74.20000015944242,0.0,0.0,10.91965990646018,50.039997,18.43206920623779,17.93918072382609,74.20000015944242,0.0,0.0,10.91965990646018,50.039997,18.4580696966913,0,0.0,8.0,22.0,0.2629,1,1,0.24465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.007278372533619404
APN,BDG,2021-06,2021,6,8,447.0,0.4,179,1232.0,1.1,150,1125,0.1591,0.1333,17,1180,1,1180.0,0,4,2360.0,2768.0,5128.0,22.0,11.0,11.0,4,19.0,9.5,9.5,2360.0,2360.0,4720.0,0,0.0,16,0.0,0.0,17.462902637322745,96.7000005170703,0.0,0.0,11.142129795418846,51.12,18.192277569240993,17.67872277763155,88.20000068098307,0.0,0.0,11.381946993991733,47.88,18.51087568865882,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,1.0,0.9557642340660095
HN,OBD,2021-06,2021,6,11,173.0,0.19,61,1800.0,1.94,59,926,0.0659,0.0637,15,1040,1,1040.0,0,7,5430.0,5491.0,10921.0,36.58333333333333,19.333333333333332,17.25,3,14.5,8.5,6.0,2068.0,1040.0,3108.0,0,0.0,21,0.0,0.0,16.985875482029385,98.20000001043081,0.0,0.0,12.194515002104971,55.8,17.83219506210751,16.862513615025414,98.50000034272671,0.0,0.0,11.924373808006445,53.639996,17.78362455765406,0,0.0,8.0,22.0,0.2629,0,0,0.24465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,1.0,0.8335786461830139
EHS,EHV,2021-06,2021,6,1,1078.0,0.61,443,3007.0,1.71,446,1757,0.2521,0.2538,26,1886,1,1886.0,0,4,5438.0,5056.0,10494.0,10.0,5.0,5.0,14,33.375,15.0,18.375,10301.0,14316.0,24617.0,0,0.0,56,0.0,0.0,19.07599974738227,112.89999974519014,0.0,0.0,10.1850332028336,55.079998,19.864402553770276,19.14100026289622,112.89999974519014,0.0,0.0,10.1850332028336,55.079998,19.929403082529703,0,0.0,8.0,22.0,0.2629,0,1,0.24465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.2246467991473532e-16,-1.0,0.0,0.13020572066307068
